Zone,Year,Disease,Number of Cases,"Rate per 100,000 population"
Eastern,2014,Group A Streptococcal Disease Invasive -> non-Severe,1,0.6
Central,2014,Group A Streptococcal Disease Invasive -> non-Severe,5,1.2
Nova Scotia,2014,Group A Streptococcal Disease Invasive -> non-Severe,14,1.5
Western,2014,Group A Streptococcal Disease Invasive -> Severe,2,1
Northern,2014,Group A Streptococcal Disease Invasive -> Severe,3,1.9
Eastern,2014,Group A Streptococcal Disease Invasive -> Severe,2,1.2
Central,2014,Group A Streptococcal Disease Invasive -> Severe,1,0.2
Nova Scotia,2014,Group A Streptococcal Disease Invasive -> Severe,8,0.9
Western,2014,Group B Streptococcal Disease of the Newborn,1,0.5
Northern,2014,Group B Streptococcal Disease of the Newborn,0,0
Eastern,2014,Group B Streptococcal Disease of the Newborn,0,0
Central,2014,Group B Streptococcal Disease of the Newborn,0,0
Nova Scotia,2014,Group B Streptococcal Disease of the Newborn,1,0.1
Western,2014,Haemophilus influenzae Type b Invasive Disease,0,0
Northern,2014,Haemophilus influenzae Type b Invasive Disease,0,0
Eastern,2014,Haemophilus influenzae Type b Invasive Disease,0,0
Central,2014,Haemophilus influenzae Type b Invasive Disease,0,0
Nova Scotia,2014,Haemophilus influenzae Type b Invasive Disease,0,0
Western,2014,Hantavirus Pulmonary Syndrome,0,0
Northern,2014,Hantavirus Pulmonary Syndrome,0,0
Eastern,2014,Hantavirus Pulmonary Syndrome,0,0
Central,2014,Hantavirus Pulmonary Syndrome,0,0
Nova Scotia,2014,Hantavirus Pulmonary Syndrome,0,0
Western,2014,Hepatitis A,0,0
Northern,2014,Hepatitis A,0,0
Eastern,2014,Hepatitis A,1,0.6
Central,2014,Hepatitis A,2,0.5
Nova Scotia,2014,Hepatitis A,3,0.3
Western,2014,Hepatitis B - Acute,1,0.5
Northern,2014,Hepatitis B - Acute,0,0
Eastern,2014,Hepatitis B - Acute,2,1.2
Central,2014,Hepatitis B - Acute,1,0.2
Nova Scotia,2014,Hepatitis B - Acute,4,0.4
Western,2014,Hepatitis B - Chronic,1,0.5
Northern,2014,Hepatitis B - Chronic,1,0.6
Eastern,2014,Hepatitis B - Chronic,2,1.2
Central,2014,Hepatitis B - Chronic,16,3.8
Nova Scotia,2014,Hepatitis B - Chronic,20,2.1
Western,2014,Hepatitis B - Chronic or Unspecified,0,0
Northern,2014,Hepatitis B - Chronic or Unspecified,0,0
Eastern,2014,Hepatitis B - Chronic or Unspecified,0,0
Central,2014,Hepatitis B - Chronic or Unspecified,0,0
Nova Scotia,2014,Hepatitis B - Chronic or Unspecified,0,0
Western,2014,Hepatitis C,29,14.7
Northern,2014,Hepatitis C,79,51
Eastern,2014,Hepatitis C,106,64
Central,2014,Hepatitis C,109,25.9
Nova Scotia,2014,Hepatitis C,323,34.4
Western,2014,Hepatitis E,0,0
Northern,2014,Hepatitis E,0,0
Eastern,2014,Hepatitis E,0,0
Central,2014,Hepatitis E,0,0
Nova Scotia,2014,Hepatitis E,0,0
Western,2014,Human Immunodeficiency Virus,0,0
Northern,2014,Human Immunodeficiency Virus,0,0
Eastern,2014,Human Immunodeficiency Virus,1,0.6
Central,2014,Human Immunodeficiency Virus,9,2.1
Nova Scotia,2014,Human Immunodeficiency Virus,10,1.1
Western,2014,Influenza,25,12.7
Northern,2014,Influenza,49,31.6
Eastern,2014,Influenza,56,33.8
Central,2014,Influenza,142,33.7
Nova Scotia,2014,Influenza,272,29
Western,2014,Legionellosis,0,0
Northern,2014,Legionellosis,0,0
Eastern,2014,Legionellosis,0,0
Central,2014,Legionellosis,3,0.7
Nova Scotia,2014,Legionellosis,3,0.3
Western,2014,Leprosy,0,0
Northern,2014,Leprosy,0,0
Eastern,2014,Leprosy,0,0
Central,2014,Leprosy,0,0
Nova Scotia,2014,Leprosy,0,0
Western,2014,Listeriosis - Invasive,1,0.5
Northern,2014,Listeriosis - Invasive,0,0
Eastern,2014,Listeriosis - Invasive,0,0
Central,2014,Listeriosis - Invasive,4,0.9
Nova Scotia,2014,Listeriosis - Invasive,5,0.5
Western,2014,Lyme Disease - Confirmed,51,25.9
Northern,2014,Lyme Disease - Confirmed,2,1.3
Eastern,2014,Lyme Disease - Confirmed,2,1.2
Central,2014,Lyme Disease - Confirmed,13,3.1
Nova Scotia,2014,Lyme Disease - Confirmed,68,7.2
Western,2014,Lyme Disease - Probable,41,20.8
Northern,2014,Lyme Disease - Probable,1,0.6
Eastern,2014,Lyme Disease - Probable,0,0
Central,2014,Lyme Disease - Probable,5,1.2
Nova Scotia,2014,Lyme Disease - Probable,47,5
Western,2014,Lymphogranuloma Venereum,0,0
Northern,2014,Lymphogranuloma Venereum,0,0
Eastern,2014,Lymphogranuloma Venereum,0,0
Central,2014,Lymphogranuloma Venereum,0,0
Nova Scotia,2014,Lymphogranuloma Venereum,0,0
Western,2014,Malaria,2,1
Northern,2014,Malaria,0,0
Eastern,2014,Malaria,0,0
Central,2014,Malaria,1,0.2
Nova Scotia,2014,Malaria,3,0.3
Western,2014,Measles,0,0
Northern,2014,Measles,0,0
Eastern,2014,Measles,0,0
Central,2014,Measles,0,0
Nova Scotia,2014,Measles,0,0
Western,2014,Meningitis - Bacterial,0,0
Northern,2014,Meningitis - Bacterial,1,0.6
Eastern,2014,Meningitis - Bacterial,0,0
Central,2014,Meningitis - Bacterial,1,0.2
Nova Scotia,2014,Meningitis - Bacterial,2,0.2
Western,2014,Meningitis - Viral,1,0.5
Northern,2014,Meningitis - Viral,3,1.9
Eastern,2014,Meningitis - Viral,0,0
Central,2014,Meningitis - Viral,11,2.6
Nova Scotia,2014,Meningitis - Viral,15,1.6
Western,2014,Meningococcal Disease Invasive,1,0.5
Northern,2014,Meningococcal Disease Invasive,0,0
Eastern,2014,Meningococcal Disease Invasive,2,1.2
Central,2014,Meningococcal Disease Invasive,0,0
Nova Scotia,2014,Meningococcal Disease Invasive,3,0.3
Western,2014,Methicillin Resistant Staphylococcus Aureus (MRSA),214,108.8
Northern,2014,Methicillin Resistant Staphylococcus Aureus (MRSA),109,70.4
Eastern,2014,Methicillin Resistant Staphylococcus Aureus (MRSA),119,71.8
Central,2014,Methicillin Resistant Staphylococcus Aureus (MRSA),202,47.9
Nova Scotia,2014,Methicillin Resistant Staphylococcus Aureus (MRSA),644,68.6
Western,2014,Mpox,0,0
Northern,2014,Mpox,0,0
Eastern,2014,Mpox,0,0
Central,2014,Mpox,0,0
Nova Scotia,2014,Mpox,0,0
Western,2014,Mumps,0,0
Northern,2014,Mumps,0,0
Eastern,2014,Mumps,0,0
Central,2014,Mumps,1,0.2
Nova Scotia,2014,Mumps,1,0.1
Western,2014,Pertussis,2,1
Northern,2014,Pertussis,1,0.6
Eastern,2014,Pertussis,0,0
Central,2014,Pertussis,8,1.9
Nova Scotia,2014,Pertussis,11,1.2
Western,2014,Plague,0,0
Northern,2014,Plague,0,0
Eastern,2014,Plague,0,0
Central,2014,Plague,0,0
Nova Scotia,2014,Plague,0,0
Western,2014,Pneumococcal Disease Invasive,21,10.7
Northern,2014,Pneumococcal Disease Invasive,10,6.5
Eastern,2014,Pneumococcal Disease Invasive,11,6.6
Central,2014,Pneumococcal Disease Invasive,24,5.7
Nova Scotia,2014,Pneumococcal Disease Invasive,66,7
Western,2014,Poliomyelitis,0,0
Northern,2014,Poliomyelitis,0,0
Eastern,2014,Poliomyelitis,0,0
Central,2014,Poliomyelitis,0,0
Nova Scotia,2014,Poliomyelitis,0,0
Western,2014,Powassan Virus Disease,0,0
Northern,2014,Powassan Virus Disease,0,0
Eastern,2014,Powassan Virus Disease,0,0
Central,2014,Powassan Virus Disease,0,0
Nova Scotia,2014,Powassan Virus Disease,0,0
Western,2014,Q-Fever,0,0
Northern,2014,Q-Fever,0,0
Eastern,2014,Q-Fever,0,0
Central,2014,Q-Fever,0,0
Nova Scotia,2014,Q-Fever,0,0
Western,2014,Rabies,0,0
Northern,2014,Rabies,0,0
Eastern,2014,Rabies,0,0
Central,2014,Rabies,0,0
Nova Scotia,2014,Rabies,0,0
Western,2014,Rubella,0,0
Northern,2014,Rubella,0,0
Eastern,2014,Rubella,0,0
Central,2014,Rubella,0,0
Nova Scotia,2014,Rubella,0,0
Western,2014,Salmonellosis,55,28
Northern,2014,Salmonellosis,35,22.6
Eastern,2014,Salmonellosis,36,21.7
Central,2014,Salmonellosis,78,18.5
Nova Scotia,2014,Salmonellosis,204,21.7
Western,2014,Severe Acute Respiratory Infection (SARI),0,0
Northern,2014,Severe Acute Respiratory Infection (SARI),0,0
Eastern,2014,Severe Acute Respiratory Infection (SARI),0,0
Central,2014,Severe Acute Respiratory Infection (SARI),0,0
Nova Scotia,2014,Severe Acute Respiratory Infection (SARI),0,0
Western,2014,Severe Acute Respiratory Syndrome (SARS),0,0
Northern,2014,Severe Acute Respiratory Syndrome (SARS),0,0
Eastern,2014,Severe Acute Respiratory Syndrome (SARS),0,0
Central,2014,Severe Acute Respiratory Syndrome (SARS),0,0
Nova Scotia,2014,Severe Acute Respiratory Syndrome (SARS),0,0
Western,2014,Shellfish Poisoning,0,0
Northern,2014,Shellfish Poisoning,0,0
Eastern,2014,Shellfish Poisoning,0,0
Central,2014,Shellfish Poisoning,0,0
Nova Scotia,2014,Shellfish Poisoning,0,0
Western,2014,Shigellosis,1,0.5
Northern,2014,Shigellosis,2,1.3
Eastern,2014,Shigellosis,0,0
Central,2014,Shigellosis,6,1.4
Nova Scotia,2014,Shigellosis,9,1
Western,2014,Smallpox,0,0
Northern,2014,Smallpox,0,0
Eastern,2014,Smallpox,0,0
Central,2014,Smallpox,0,0
Nova Scotia,2014,Smallpox,0,0
Western,2014,Syphilis - Infectious,4,2
Northern,2014,Syphilis - Infectious,5,3.2
Eastern,2014,Syphilis - Infectious,4,2.4
Central,2014,Syphilis - Infectious,50,11.9
Nova Scotia,2014,Syphilis - Infectious,63,6.7
Western,2014,Syphilis - Non-Infectious or Stage Pending,3,1.5
Northern,2014,Syphilis - Non-Infectious or Stage Pending,1,0.6
Eastern,2014,Syphilis - Non-Infectious or Stage Pending,4,2.4
Central,2014,Syphilis - Non-Infectious or Stage Pending,29,6.9
Nova Scotia,2014,Syphilis - Non-Infectious or Stage Pending,37,3.9
Western,2014,Tetanus,0,0
Northern,2014,Tetanus,0,0
Eastern,2014,Tetanus,0,0
Central,2014,Tetanus,0,0
Nova Scotia,2014,Tetanus,0,0
Western,2014,Toxoplasmosis,0,0
Northern,2014,Toxoplasmosis,0,0
Eastern,2014,Toxoplasmosis,1,0.6
Central,2014,Toxoplasmosis,2,0.5
Nova Scotia,2014,Toxoplasmosis,3,0.3
Western,2014,Tuberculosis,0,0
Northern,2014,Tuberculosis,1,0.6
Eastern,2014,Tuberculosis,0,0
Central,2014,Tuberculosis,6,1.4
Nova Scotia,2014,Tuberculosis,7,0.7
Western,2014,Tularemia,0,0
Northern,2014,Tularemia,0,0
Eastern,2014,Tularemia,0,0
Central,2014,Tularemia,0,0
Nova Scotia,2014,Tularemia,0,0
Western,2014,Typhoid,0,0
Northern,2014,Typhoid,0,0
Eastern,2014,Typhoid,1,0.6
Central,2014,Typhoid,1,0.2
Nova Scotia,2014,Typhoid,2,0.2
Western,2014,Vancomycin resistant Enterococcus (VRE),1,0.5
Northern,2014,Vancomycin resistant Enterococcus (VRE),7,4.5
Eastern,2014,Vancomycin resistant Enterococcus (VRE),1,0.6
Central,2014,Vancomycin resistant Enterococcus (VRE),8,1.9
Nova Scotia,2014,Vancomycin resistant Enterococcus (VRE),17,1.8
Western,2014,Verotoxigenic E. coli,2,1
Northern,2014,Verotoxigenic E. coli,3,1.9
Eastern,2014,Verotoxigenic E. coli,1,0.6
Central,2014,Verotoxigenic E. coli,4,0.9
Nova Scotia,2014,Verotoxigenic E. coli,10,1.1
Western,2014,Viral Hemorrhagic Fever,0,0
Northern,2014,Viral Hemorrhagic Fever,0,0
Eastern,2014,Viral Hemorrhagic Fever,0,0
Central,2014,Viral Hemorrhagic Fever,0,0
Nova Scotia,2014,Viral Hemorrhagic Fever,0,0
Western,2014,West Nile Virus,0,0
Northern,2014,West Nile Virus,0,0
Eastern,2014,West Nile Virus,0,0
Central,2014,West Nile Virus,0,0
Nova Scotia,2014,West Nile Virus,0,0
Western,2014,Yellow Fever,0,0
Northern,2014,Yellow Fever,0,0
Eastern,2014,Yellow Fever,0,0
Central,2014,Yellow Fever,0,0
Nova Scotia,2014,Yellow Fever,0,0
Western,2014,Yersiniosis,0,0
