Zone,Year,Disease,Number of Cases,"Rate per 100,000 population"
Eastern,2015,Lyme Disease - Confirmed,1,0.6
Central,2015,Lyme Disease - Confirmed,16,3.2
Nova Scotia,2015,Lyme Disease - Confirmed,124,13.1
Western,2015,Lyme Disease - Probable,106,54.2
Northern,2015,Lyme Disease - Probable,6,4
Eastern,2015,Lyme Disease - Probable,0,0
Central,2015,Lyme Disease - Probable,18,4.1
Nova Scotia,2015,Lyme Disease - Probable,130,13.8
Western,2015,Lymphogranuloma Venereum,0,0
Northern,2015,Lymphogranuloma Venereum,0,0
Eastern,2015,Lymphogranuloma Venereum,0,0
Central,2015,Lymphogranuloma Venereum,0,0
Nova Scotia,2015,Lymphogranuloma Venereum,0,0
Western,2015,Malaria,0,0
Northern,2015,Malaria,0,0
Eastern,2015,Malaria,1,0.6
Central,2015,Malaria,3,0.7
Nova Scotia,2015,Malaria,4,0.4
Western,2015,Measles,0,0
Northern,2015,Measles,0,0
Eastern,2015,Measles,0,0
Central,2015,Measles,0,0
Nova Scotia,2015,Measles,0,0
Western,2015,Meningitis - Bacterial,0,0
Northern,2015,Meningitis - Bacterial,0,0
Eastern,2015,Meningitis - Bacterial,0,0
Central,2015,Meningitis - Bacterial,0,0
Nova Scotia,2015,Meningitis - Bacterial,0,0
Western,2015,Meningitis - Viral,0,0
Northern,2015,Meningitis - Viral,0,0
Eastern,2015,Meningitis - Viral,0,0
Central,2015,Meningitis - Viral,0,0
Nova Scotia,2015,Meningitis - Viral,0,0
Western,2015,Meningococcal Disease Invasive,2,1
Northern,2015,Meningococcal Disease Invasive,1,0.7
Eastern,2015,Meningococcal Disease Invasive,3,1.9
Central,2015,Meningococcal Disease Invasive,1,0.2
Nova Scotia,2015,Meningococcal Disease Invasive,7,0.7
Western,2015,Methicillin Resistant Staphylococcus Aureus (MRSA),178,90.9
Northern,2015,Methicillin Resistant Staphylococcus Aureus (MRSA),94,63
Eastern,2015,Methicillin Resistant Staphylococcus Aureus (MRSA),132,83
Central,2015,Methicillin Resistant Staphylococcus Aureus (MRSA),221,50.3
Nova Scotia,2015,Methicillin Resistant Staphylococcus Aureus (MRSA),625,66.3
Western,2015,Mpox,0,0
Northern,2015,Mpox,0,0
Eastern,2015,Mpox,0,0
Central,2015,Mpox,0,0
Nova Scotia,2015,Mpox,0,0
Western,2015,Mumps,0,0
Northern,2015,Mumps,0,0
Eastern,2015,Mumps,1,0.6
Central,2015,Mumps,5,1.1
Nova Scotia,2015,Mumps,6,0.6
Western,2015,Pertussis,53,27.1
Northern,2015,Pertussis,10,6.7
Eastern,2015,Pertussis,12,7.5
Central,2015,Pertussis,35,8
Nova Scotia,2015,Pertussis,110,11.7
Western,2015,Plague,0,0
Northern,2015,Plague,0,0
Eastern,2015,Plague,0,0
Central,2015,Plague,0,0
Nova Scotia,2015,Plague,0,0
Western,2015,Pneumococcal Disease Invasive,10,5.1
Northern,2015,Pneumococcal Disease Invasive,10,6.7
Eastern,2015,Pneumococcal Disease Invasive,10,6.3
Central,2015,Pneumococcal Disease Invasive,22,5
Nova Scotia,2015,Pneumococcal Disease Invasive,52,5.5
Western,2015,Poliomyelitis,0,0
Northern,2015,Poliomyelitis,0,0
Eastern,2015,Poliomyelitis,0,0
Central,2015,Poliomyelitis,0,0
Nova Scotia,2015,Poliomyelitis,0,0
Western,2015,Powassan Virus Disease,0,0
Northern,2015,Powassan Virus Disease,0,0
Eastern,2015,Powassan Virus Disease,0,0
Central,2015,Powassan Virus Disease,0,0
Nova Scotia,2015,Powassan Virus Disease,0,0
Western,2015,Q-Fever,0,0
Northern,2015,Q-Fever,0,0
Eastern,2015,Q-Fever,0,0
Central,2015,Q-Fever,0,0
Nova Scotia,2015,Q-Fever,0,0
Western,2015,Rabies,0,0
Northern,2015,Rabies,0,0
Eastern,2015,Rabies,0,0
Central,2015,Rabies,0,0
Nova Scotia,2015,Rabies,0,0
Western,2015,Rubella,0,0
Northern,2015,Rubella,0,0
Eastern,2015,Rubella,0,0
Central,2015,Rubella,0,0
Nova Scotia,2015,Rubella,0,0
Western,2015,Salmonellosis,44,22.5
Northern,2015,Salmonellosis,22,14.7
Eastern,2015,Salmonellosis,38,23.9
Central,2015,Salmonellosis,65,14.8
Nova Scotia,2015,Salmonellosis,169,17.9
Western,2015,Severe Acute Respiratory Infection (SARI),0,0
Northern,2015,Severe Acute Respiratory Infection (SARI),0,0
Eastern,2015,Severe Acute Respiratory Infection (SARI),0,0
Central,2015,Severe Acute Respiratory Infection (SARI),0,0
Nova Scotia,2015,Severe Acute Respiratory Infection (SARI),0,0
Western,2015,Severe Acute Respiratory Syndrome (SARS),0,0
Northern,2015,Severe Acute Respiratory Syndrome (SARS),0,0
Eastern,2015,Severe Acute Respiratory Syndrome (SARS),0,0
Central,2015,Severe Acute Respiratory Syndrome (SARS),0,0
Nova Scotia,2015,Severe Acute Respiratory Syndrome (SARS),0,0
Western,2015,Shellfish Poisoning,0,0
Northern,2015,Shellfish Poisoning,0,0
Eastern,2015,Shellfish Poisoning,0,0
Central,2015,Shellfish Poisoning,0,0
Nova Scotia,2015,Shellfish Poisoning,0,0
Western,2015,Shigellosis,1,0.5
Northern,2015,Shigellosis,0,0
Eastern,2015,Shigellosis,1,0.6
Central,2015,Shigellosis,3,0.7
Nova Scotia,2015,Shigellosis,5,0.5
Western,2015,Smallpox,0,0
Northern,2015,Smallpox,0,0
Eastern,2015,Smallpox,0,0
Central,2015,Smallpox,0,0
Nova Scotia,2015,Smallpox,0,0
Western,2015,Syphilis - Infectious,1,0.5
Northern,2015,Syphilis - Infectious,2,1.3
Eastern,2015,Syphilis - Infectious,0,0
Central,2015,Syphilis - Infectious,40,8.9
Nova Scotia,2015,Syphilis - Infectious,43,4.6
Western,2015,Syphilis - Non-Infectious or Stage Pending,1,0.5
Northern,2015,Syphilis - Non-Infectious or Stage Pending,1,0.7
Eastern,2015,Syphilis - Non-Infectious or Stage Pending,1,0.6
Central,2015,Syphilis - Non-Infectious or Stage Pending,25,5.7
Nova Scotia,2015,Syphilis - Non-Infectious or Stage Pending,28,3
Western,2015,Tetanus,0,0
Northern,2015,Tetanus,0,0
Eastern,2015,Tetanus,0,0
Central,2015,Tetanus,0,0
Nova Scotia,2015,Tetanus,0,0
Western,2015,Toxoplasmosis,0,0
Northern,2015,Toxoplasmosis,0,0
Eastern,2015,Toxoplasmosis,0,0
Central,2015,Toxoplasmosis,0,0
Nova Scotia,2015,Toxoplasmosis,0,0
Western,2015,Tuberculosis,0,0
Northern,2015,Tuberculosis,0,0
Eastern,2015,Tuberculosis,0,0
Central,2015,Tuberculosis,6,1.4
Nova Scotia,2015,Tuberculosis,6,0.6
Western,2015,Tularemia,0,0
Northern,2015,Tularemia,0,0
Eastern,2015,Tularemia,0,0
Central,2015,Tularemia,0,0
Nova Scotia,2015,Tularemia,0,0
Western,2015,Typhoid,0,0
Northern,2015,Typhoid,0,0
Eastern,2015,Typhoid,0,0
Central,2015,Typhoid,0,0
Nova Scotia,2015,Typhoid,0,0
Western,2015,Vancomycin resistant Enterococcus (VRE),1,0.5
Northern,2015,Vancomycin resistant Enterococcus (VRE),0,0
Eastern,2015,Vancomycin resistant Enterococcus (VRE),0,0
Central,2015,Vancomycin resistant Enterococcus (VRE),3,0.7
Nova Scotia,2015,Vancomycin resistant Enterococcus (VRE),4,0.4
Western,2015,Verotoxigenic E. coli,1,0.5
Northern,2015,Verotoxigenic E. coli,1,0.7
Eastern,2015,Verotoxigenic E. coli,0,0
Central,2015,Verotoxigenic E. coli,3,0.7
Nova Scotia,2015,Verotoxigenic E. coli,5,0.5
Western,2015,Viral Hemorrhagic Fever,0,0
Northern,2015,Viral Hemorrhagic Fever,0,0
Eastern,2015,Viral Hemorrhagic Fever,0,0
Central,2015,Viral Hemorrhagic Fever,0,0
Nova Scotia,2015,Viral Hemorrhagic Fever,0,0
Western,2015,West Nile Virus,0,0
Northern,2015,West Nile Virus,0,0
Eastern,2015,West Nile Virus,0,0
Central,2015,West Nile Virus,0,0
Nova Scotia,2015,West Nile Virus,0,0
Western,2015,Yellow Fever,0,0
Northern,2015,Yellow Fever,0,0
Eastern,2015,Yellow Fever,0,0
Central,2015,Yellow Fever,0,0
Nova Scotia,2015,Yellow Fever,0,0
Western,2015,Yersiniosis,0,0
Northern,2015,Yersiniosis,0,0
Eastern,2015,Yersiniosis,0,0
Central,2015,Yersiniosis,0,0
Nova Scotia,2015,Yersiniosis,0,0
Western,2016,Acquired Immune Deficiency Syndrome,1,0.5
Northern,2016,Acquired Immune Deficiency Syndrome,0,0
Eastern,2016,Acquired Immune Deficiency Syndrome,0,0
Central,2016,Acquired Immune Deficiency Syndrome,0,0
Nova Scotia,2016,Acquired Immune Deficiency Syndrome,1,0.1
Western,2016,Acute Flaccid Paralysis,0,0
Northern,2016,Acute Flaccid Paralysis,0,0
Eastern,2016,Acute Flaccid Paralysis,0,0
Central,2016,Acute Flaccid Paralysis,0,0
Nova Scotia,2016,Acute Flaccid Paralysis,0,0
Western,2016,Amebiasis,0,0
Northern,2016,Amebiasis,0,0
Eastern,2016,Amebiasis,0,0
Central,2016,Amebiasis,0,0
Nova Scotia,2016,Amebiasis,0,0
Western,2016,Anaplasmosis,0,0
Northern,2016,Anaplasmosis,0,0
Eastern,2016,Anaplasmosis,0,0
Central,2016,Anaplasmosis,0,0
Nova Scotia,2016,Anaplasmosis,0,0
Western,2016,Anthrax,0,0
Northern,2016,Anthrax,0,0
Eastern,2016,Anthrax,0,0
Central,2016,Anthrax,0,0
Nova Scotia,2016,Anthrax,0,0
Western,2016,Babesiosis,0,0
Northern,2016,Babesiosis,0,0
Eastern,2016,Babesiosis,0,0
Central,2016,Babesiosis,0,0
Nova Scotia,2016,Babesiosis,0,0
Western,2016,Botulism,0,0
Northern,2016,Botulism,0,0
Eastern,2016,Botulism,0,0
Central,2016,Botulism,0,0
Nova Scotia,2016,Botulism,0,0
Western,2016,Brucellosis,0,0
Northern,2016,Brucellosis,0,0
Eastern,2016,Brucellosis,0,0
Central,2016,Brucellosis,0,0
Nova Scotia,2016,Brucellosis,0,0
Western,2016,Campylobacteriosis,55,28.1
Northern,2016,Campylobacteriosis,22,14.9
Eastern,2016,Campylobacteriosis,19,12
Central,2016,Campylobacteriosis,73,16.3
Nova Scotia,2016,Campylobacteriosis,170,17.9
Western,2016,Chlamydia,497,253.7
Northern,2016,Chlamydia,269,181.6
Eastern,2016,Chlamydia,394,248.7
Central,2016,Chlamydia,1770,395.9
Nova Scotia,2016,Chlamydia,2931,308.7
Western,2016,Cholera,0,0
Northern,2016,Cholera,0,0
Eastern,2016,Cholera,0,0
Central,2016,Cholera,0,0
Nova Scotia,2016,Cholera,0,0
Western,2016,Clostridium difficile,179,91.4
Northern,2016,Clostridium difficile,122,82.4
Eastern,2016,Clostridium difficile,186,117.4
Central,2016,Clostridium difficile,387,86.6
Nova Scotia,2016,Clostridium difficile,874,92
Western,2016,Creutzfeldt-Jakob Disease - Classic,0,0
Northern,2016,Creutzfeldt-Jakob Disease - Classic,0,0
Eastern,2016,Creutzfeldt-Jakob Disease - Classic,0,0
Central,2016,Creutzfeldt-Jakob Disease - Classic,1,0.2
Nova Scotia,2016,Creutzfeldt-Jakob Disease - Classic,1,0.1
Western,2016,Creutzfeldt-Jakob Disease - Unknown,0,0
Northern,2016,Creutzfeldt-Jakob Disease - Unknown,0,0
Eastern,2016,Creutzfeldt-Jakob Disease - Unknown,0,0
Central,2016,Creutzfeldt-Jakob Disease - Unknown,0,0
Nova Scotia,2016,Creutzfeldt-Jakob Disease - Unknown,0,0
Western,2016,Creutzfeldt-Jakob Disease - Variant,0,0
Northern,2016,Creutzfeldt-Jakob Disease - Variant,0,0
Eastern,2016,Creutzfeldt-Jakob Disease - Variant,0,0
Central,2016,Creutzfeldt-Jakob Disease - Variant,0,0
Nova Scotia,2016,Creutzfeldt-Jakob Disease - Variant,0,0
Western,2016,Cryptosporidiosis,11,5.6
Northern,2016,Cryptosporidiosis,6,4.1
Eastern,2016,Cryptosporidiosis,4,2.5
Central,2016,Cryptosporidiosis,6,1.3
Nova Scotia,2016,Cryptosporidiosis,27,2.8
Western,2016,Cyclosporiasis,0,0
Northern,2016,Cyclosporiasis,0,0
Eastern,2016,Cyclosporiasis,0,0
Central,2016,Cyclosporiasis,2,0.4
Nova Scotia,2016,Cyclosporiasis,2,0.2
Western,2016,Diphtheria,0,0
Northern,2016,Diphtheria,0,0
Eastern,2016,Diphtheria,0,0
Central,2016,Diphtheria,0,0
Nova Scotia,2016,Diphtheria,0,0
Western,2016,Ebola Virus Disease,0,0
Northern,2016,Ebola Virus Disease,0,0
Eastern,2016,Ebola Virus Disease,0,0
Central,2016,Ebola Virus Disease,0,0
Nova Scotia,2016,Ebola Virus Disease,0,0
Western,2016,Encephalitis - Viral,0,0
Northern,2016,Encephalitis - Viral,0,0
Eastern,2016,Encephalitis - Viral,0,0
Central,2016,Encephalitis - Viral,0,0
Nova Scotia,2016,Encephalitis - Viral,0,0
Western,2016,Giardiasis,26,13.3
Northern,2016,Giardiasis,20,13.5
Eastern,2016,Giardiasis,14,8.8
Central,2016,Giardiasis,40,8.9
Nova Scotia,2016,Giardiasis,100,10.5
Western,2016,Gonorrhea,19,9.7
Northern,2016,Gonorrhea,14,9.5
Eastern,2016,Gonorrhea,9,5.7
Central,2016,Gonorrhea,160,35.8
Nova Scotia,2016,Gonorrhea,202,21.3
Western,2016,Group A Streptococcal Disease Invasive,0,0
Northern,2016,Group A Streptococcal Disease Invasive,0,0
Eastern,2016,Group A Streptococcal Disease Invasive,0,0
Central,2016,Group A Streptococcal Disease Invasive,0,0
Nova Scotia,2016,Group A Streptococcal Disease Invasive,0,0
Western,2016,Group A Streptococcal Disease Invasive -> non-Severe,6,3.1
Northern,2016,Group A Streptococcal Disease Invasive -> non-Severe,1,0.7
Eastern,2016,Group A Streptococcal Disease Invasive -> non-Severe,1,0.6
Central,2016,Group A Streptococcal Disease Invasive -> non-Severe,4,0.9
Nova Scotia,2016,Group A Streptococcal Disease Invasive -> non-Severe,12,1.3
Western,2016,Group A Streptococcal Disease Invasive -> Severe,2,1
Northern,2016,Group A Streptococcal Disease Invasive -> Severe,2,1.4
Eastern,2016,Group A Streptococcal Disease Invasive -> Severe,1,0.6
Central,2016,Group A Streptococcal Disease Invasive -> Severe,2,0.4
Nova Scotia,2016,Group A Streptococcal Disease Invasive -> Severe,7,0.7
Western,2016,Group B Streptococcal Disease of the Newborn,0,0
Northern,2016,Group B Streptococcal Disease of the Newborn,1,0.7
Eastern,2016,Group B Streptococcal Disease of the Newborn,1,0.6
Central,2016,Group B Streptococcal Disease of the Newborn,1,0.2
Nova Scotia,2016,Group B Streptococcal Disease of the Newborn,3,0.3
Western,2016,Haemophilus influenzae Type b Invasive Disease,0,0
Northern,2016,Haemophilus influenzae Type b Invasive Disease,0,0
Eastern,2016,Haemophilus influenzae Type b Invasive Disease,0,0
Central,2016,Haemophilus influenzae Type b Invasive Disease,0,0
Nova Scotia,2016,Haemophilus influenzae Type b Invasive Disease,0,0
Western,2016,Hantavirus Pulmonary Syndrome,0,0
Northern,2016,Hantavirus Pulmonary Syndrome,0,0
Eastern,2016,Hantavirus Pulmonary Syndrome,0,0
Central,2016,Hantavirus Pulmonary Syndrome,0,0
Nova Scotia,2016,Hantavirus Pulmonary Syndrome,0,0
Western,2016,Hepatitis A,0,0
Northern,2016,Hepatitis A,0,0
Eastern,2016,Hepatitis A,0,0
Central,2016,Hepatitis A,11,2.5
Nova Scotia,2016,Hepatitis A,11,1.2
Western,2016,Hepatitis B - Acute,2,1
Northern,2016,Hepatitis B - Acute,1,0.7
Eastern,2016,Hepatitis B - Acute,1,0.6
Central,2016,Hepatitis B - Acute,6,1.3
Nova Scotia,2016,Hepatitis B - Acute,10,1.1
Western,2016,Hepatitis B - Chronic,2,1
Northern,2016,Hepatitis B - Chronic,0,0
Eastern,2016,Hepatitis B - Chronic,2,1.3
Central,2016,Hepatitis B - Chronic,9,2
Nova Scotia,2016,Hepatitis B - Chronic,13,1.4
Western,2016,Hepatitis B - Chronic or Unspecified,0,0
Northern,2016,Hepatitis B - Chronic or Unspecified,0,0
Eastern,2016,Hepatitis B - Chronic or Unspecified,0,0
Central,2016,Hepatitis B - Chronic or Unspecified,0,0
Nova Scotia,2016,Hepatitis B - Chronic or Unspecified,0,0
Western,2016,Hepatitis C,32,16.3
Northern,2016,Hepatitis C,81,54.7
Eastern,2016,Hepatitis C,91,57.4
Central,2016,Hepatitis C,95,21.3
Nova Scotia,2016,Hepatitis C,299,31.5
Western,2016,Hepatitis E,0,0
Northern,2016,Hepatitis E,0,0
Eastern,2016,Hepatitis E,0,0
Central,2016,Hepatitis E,0,0
Nova Scotia,2016,Hepatitis E,0,0
Western,2016,Human Immunodeficiency Virus,1,0.5
Northern,2016,Human Immunodeficiency Virus,2,1.4
Eastern,2016,Human Immunodeficiency Virus,0,0
Central,2016,Human Immunodeficiency Virus,11,2.5
Nova Scotia,2016,Human Immunodeficiency Virus,16,1.7
Western,2016,Influenza,81,41.3
Northern,2016,Influenza,36,24.3
Eastern,2016,Influenza,98,61.9
Central,2016,Influenza,110,24.6
Nova Scotia,2016,Influenza,325,34.2
Western,2016,Legionellosis,0,0
Northern,2016,Legionellosis,0,0
Eastern,2016,Legionellosis,0,0
Central,2016,Legionellosis,1,0.2
Nova Scotia,2016,Legionellosis,1,0.1
Western,2016,Leprosy,0,0
Northern,2016,Leprosy,0,0
Eastern,2016,Leprosy,0,0
Central,2016,Leprosy,0,0
Nova Scotia,2016,Leprosy,0,0
Western,2016,Listeriosis - Invasive,0,0
Northern,2016,Listeriosis - Invasive,0,0
Eastern,2016,Listeriosis - Invasive,1,0.6
Central,2016,Listeriosis - Invasive,3,0.7
Nova Scotia,2016,Listeriosis - Invasive,4,0.4
Western,2016,Lyme Disease - Confirmed,131,66.9
Northern,2016,Lyme Disease - Confirmed,12,8.1
Eastern,2016,Lyme Disease - Confirmed,0,0
Central,2016,Lyme Disease - Confirmed,22,4.9
Nova Scotia,2016,Lyme Disease - Confirmed,165,17.4
Western,2016,Lyme Disease - Probable,142,72.5
Northern,2016,Lyme Disease - Probable,6,4.1
Eastern,2016,Lyme Disease - Probable,0,0
Central,2016,Lyme Disease - Probable,13,2.9
Nova Scotia,2016,Lyme Disease - Probable,161,17
Western,2016,Lymphogranuloma Venereum,0,0
Northern,2016,Lymphogranuloma Venereum,0,0
Eastern,2016,Lymphogranuloma Venereum,0,0
Central,2016,Lymphogranuloma Venereum,0,0
Nova Scotia,2016,Lymphogranuloma Venereum,0,0
Western,2016,Malaria,0,0
Northern,2016,Malaria,1,0.7
Eastern,2016,Malaria,2,1.3
Central,2016,Malaria,3,0.7
Nova Scotia,2016,Malaria,6,0.6
Western,2016,Measles,0,0
Northern,2016,Measles,0,0
Eastern,2016,Measles,0,0
Central,2016,Measles,0,0
Nova Scotia,2016,Measles,0,0
Western,2016,Meningitis - Bacterial,0,0
Northern,2016,Meningitis - Bacterial,0,0
Eastern,2016,Meningitis - Bacterial,0,0
Central,2016,Meningitis - Bacterial,0,0
Nova Scotia,2016,Meningitis - Bacterial,0,0
Western,2016,Meningitis - Viral,0,0
Northern,2016,Meningitis - Viral,0,0
Eastern,2016,Meningitis - Viral,0,0
Central,2016,Meningitis - Viral,0,0
Nova Scotia,2016,Meningitis - Viral,0,0
Western,2016,Meningococcal Disease Invasive,1,0.5
Northern,2016,Meningococcal Disease Invasive,0,0
Eastern,2016,Meningococcal Disease Invasive,1,0.6
Central,2016,Meningococcal Disease Invasive,2,0.4
Nova Scotia,2016,Meningococcal Disease Invasive,4,0.4
Western,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),150,76.6
Northern,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),130,87.8
Eastern,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),91,57.4
Central,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),199,44.5
Nova Scotia,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),570,60
Western,2016,Mpox,0,0
Northern,2016,Mpox,0,0
Eastern,2016,Mpox,0,0
Central,2016,Mpox,0,0
Nova Scotia,2016,Mpox,0,0
Western,2016,Mumps,0,0
Northern,2016,Mumps,0,0
Eastern,2016,Mumps,0,0
Central,2016,Mumps,1,0.2
Nova Scotia,2016,Mumps,1,0.1
Western,2016,Pertussis,32,16.3
Northern,2016,Pertussis,9,6.1
Eastern,2016,Pertussis,6,3.8
Central,2016,Pertussis,16,3.6
Nova Scotia,2016,Pertussis,63,6.6
Western,2016,Plague,0,0
Northern,2016,Plague,0,0
Eastern,2016,Plague,0,0
Central,2016,Plague,0,0
Nova Scotia,2016,Plague,0,0
Western,2016,Pneumococcal Disease Invasive,16,8.2
Northern,2016,Pneumococcal Disease Invasive,10,6.8
Eastern,2016,Pneumococcal Disease Invasive,17,10.7
Central,2016,Pneumococcal Disease Invasive,23,5.1
Nova Scotia,2016,Pneumococcal Disease Invasive,66,7
Western,2016,Poliomyelitis,0,0
Northern,2016,Poliomyelitis,0,0
Eastern,2016,Poliomyelitis,0,0
Central,2016,Poliomyelitis,0,0
Nova Scotia,2016,Poliomyelitis,0,0
Western,2016,Powassan Virus Disease,0,0
Northern,2016,Powassan Virus Disease,0,0
Eastern,2016,Powassan Virus Disease,0,0
Central,2016,Powassan Virus Disease,0,0
Nova Scotia,2016,Powassan Virus Disease,0,0
Western,2016,Q-Fever,0,0
Northern,2016,Q-Fever,0,0
Eastern,2016,Q-Fever,0,0
Central,2016,Q-Fever,0,0
Nova Scotia,2016,Q-Fever,0,0
Western,2016,Rabies,0,0
Northern,2016,Rabies,0,0
Eastern,2016,Rabies,0,0
Central,2016,Rabies,0,0
Nova Scotia,2016,Rabies,0,0
Western,2016,Rubella,0,0
Northern,2016,Rubella,0,0
Eastern,2016,Rubella,0,0
Central,2016,Rubella,0,0
Nova Scotia,2016,Rubella,0,0
Western,2016,Salmonellosis,29,14.8
Northern,2016,Salmonellosis,33,22.3
Eastern,2016,Salmonellosis,20,12.6
Central,2016,Salmonellosis,57,12.8
Nova Scotia,2016,Salmonellosis,139,14.6
Western,2016,Severe Acute Respiratory Infection (SARI),0,0
Northern,2016,Severe Acute Respiratory Infection (SARI),0,0
Eastern,2016,Severe Acute Respiratory Infection (SARI),0,0
Central,2016,Severe Acute Respiratory Infection (SARI),0,0
Nova Scotia,2016,Severe Acute Respiratory Infection (SARI),0,0
Western,2016,Severe Acute Respiratory Syndrome (SARS),0,0
Northern,2016,Severe Acute Respiratory Syndrome (SARS),0,0
Eastern,2016,Severe Acute Respiratory Syndrome (SARS),0,0
Central,2016,Severe Acute Respiratory Syndrome (SARS),0,0
Nova Scotia,2016,Severe Acute Respiratory Syndrome (SARS),0,0
Western,2016,Shellfish Poisoning,0,0
Northern,2016,Shellfish Poisoning,0,0
Eastern,2016,Shellfish Poisoning,0,0
Central,2016,Shellfish Poisoning,0,0
Nova Scotia,2016,Shellfish Poisoning,0,0
Western,2016,Shigellosis,1,0.5
Northern,2016,Shigellosis,2,1.4
Eastern,2016,Shigellosis,1,0.6
Central,2016,Shigellosis,6,1.3
Nova Scotia,2016,Shigellosis,10,1.1
Western,2016,Smallpox,0,0
Northern,2016,Smallpox,0,0
Eastern,2016,Smallpox,0,0
Central,2016,Smallpox,0,0
Nova Scotia,2016,Smallpox,0,0
Western,2016,Syphilis - Infectious,3,1.5
Northern,2016,Syphilis - Infectious,2,1.4
Eastern,2016,Syphilis - Infectious,1,0.6
Central,2016,Syphilis - Infectious,12,2.7
Nova Scotia,2016,Syphilis - Infectious,18,1.9
Western,2016,Syphilis - Non-Infectious or Stage Pending,4,2
Northern,2016,Syphilis - Non-Infectious or Stage Pending,1,0.7
Eastern,2016,Syphilis - Non-Infectious or Stage Pending,0,0
Central,2016,Syphilis - Non-Infectious or Stage Pending,12,2.7
Nova Scotia,2017,Anthrax,0,0
Nova Scotia,2016,Syphilis - Non-Infectious or Stage Pending,17,1.8
Western,2016,Tetanus,0,0
Northern,2016,Tetanus,0,0
Eastern,2016,Tetanus,0,0
Central,2016,Tetanus,0,0
Nova Scotia,2016,Tetanus,0,0
Western,2016,Toxoplasmosis,0,0
Northern,2016,Toxoplasmosis,0,0
Eastern,2016,Toxoplasmosis,0,0
Central,2016,Toxoplasmosis,0,0
Nova Scotia,2016,Toxoplasmosis,0,0
Western,2016,Tuberculosis,0,0
Northern,2016,Tuberculosis,0,0
Eastern,2016,Tuberculosis,0,0
Central,2016,Tuberculosis,2,0.4
Nova Scotia,2016,Tuberculosis,2,0.2
Western,2016,Tularemia,0,0
Northern,2016,Tularemia,0,0
Eastern,2016,Tularemia,0,0
Central,2016,Tularemia,0,0
Nova Scotia,2016,Tularemia,0,0
Western,2016,Typhoid,0,0
Northern,2016,Typhoid,0,0
Eastern,2016,Typhoid,0,0
Central,2016,Typhoid,1,0.2
Nova Scotia,2016,Typhoid,1,0.1
Western,2016,Vancomycin resistant Enterococcus (VRE),2,1
Northern,2016,Vancomycin resistant Enterococcus (VRE),1,0.7
Eastern,2016,Vancomycin resistant Enterococcus (VRE),5,3.2
Central,2016,Vancomycin resistant Enterococcus (VRE),5,1.1
Nova Scotia,2016,Vancomycin resistant Enterococcus (VRE),13,1.4
Western,2016,Verotoxigenic E. coli,1,0.5
Northern,2016,Verotoxigenic E. coli,0,0
Eastern,2016,Verotoxigenic E. coli,0,0
Central,2016,Verotoxigenic E. coli,4,0.9
Nova Scotia,2016,Verotoxigenic E. coli,5,0.5
Western,2016,Viral Hemorrhagic Fever,0,0
Northern,2016,Viral Hemorrhagic Fever,0,0
Eastern,2016,Viral Hemorrhagic Fever,0,0
Central,2016,Viral Hemorrhagic Fever,0,0
Nova Scotia,2016,Viral Hemorrhagic Fever,0,0
Western,2016,West Nile Virus,0,0
Northern,2016,West Nile Virus,0,0
Eastern,2016,West Nile Virus,0,0
Central,2016,West Nile Virus,0,0
Nova Scotia,2016,West Nile Virus,0,0
Western,2016,Yellow Fever,0,0
Northern,2016,Yellow Fever,0,0
Eastern,2016,Yellow Fever,0,0
Central,2016,Yellow Fever,0,0
Nova Scotia,2016,Yellow Fever,0,0
Western,2016,Yersiniosis,0,0
Northern,2016,Yersiniosis,0,0
Eastern,2016,Yersiniosis,0,0
Central,2016,Yersiniosis,0,0
Nova Scotia,2016,Yersiniosis,0,0
Western,2017,Acquired Immune Deficiency Syndrome,0,0
Northern,2017,Acquired Immune Deficiency Syndrome,0,0
Eastern,2017,Acquired Immune Deficiency Syndrome,1,0.6
Central,2017,Acquired Immune Deficiency Syndrome,0,0
Nova Scotia,2017,Acquired Immune Deficiency Syndrome,1,0.1
Western,2017,Acute Flaccid Paralysis,0,0
Northern,2017,Acute Flaccid Paralysis,0,0
Eastern,2017,Acute Flaccid Paralysis,0,0
Central,2017,Acute Flaccid Paralysis,0,0
Nova Scotia,2017,Acute Flaccid Paralysis,0,0
Western,2017,Amebiasis,0,0
Northern,2017,Amebiasis,0,0
Eastern,2017,Amebiasis,0,0
Central,2017,Amebiasis,0,0
Nova Scotia,2017,Amebiasis,0,0
Western,2017,Anaplasmosis,0,0
Northern,2017,Anaplasmosis,0,0
Eastern,2017,Anaplasmosis,0,0
Central,2017,Anaplasmosis,0,0
Nova Scotia,2017,Anaplasmosis,0,0
Western,2017,Anthrax,0,0
Northern,2017,Anthrax,0,0
Eastern,2017,Anthrax,0,0
Central,2017,Anthrax,0,0
Western,2017,Babesiosis,0,0
Northern,2017,Babesiosis,0,0
Eastern,2017,Babesiosis,0,0
Central,2017,Babesiosis,0,0
Nova Scotia,2017,Babesiosis,0,0
Western,2017,Botulism,0,0
Northern,2017,Botulism,0,0
