Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q1 (lowest income),12.7,12.45,13.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q2,12.1,11.81,12.49,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2016–2017,Urban versus rural/remote,Rural/remote,11.7,11.36,12.09,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q3,12.1,11.75,12.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q4,11.6,11.23,12.05,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q5 (highest income),11.9,11.43,12.31,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,12.3,–,–,–,–,–,–,–,"21,910","178,291",–,1.1,1.07,1.16,Yes,5.1,1.76,8.30,Yes,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,12.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,14.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,11.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,12.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,12.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Urban versus rural/remote,Urban,12.1,11.97,12.31,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q1 (lowest income),12.8,12.53,13.08,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Urban versus rural/remote,Rural/remote,12.1,11.73,12.46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q2,12.0,11.67,12.33,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q3,11.7,11.36,12.11,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q4,11.8,11.38,12.19,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q5 (highest income),11.5,11.07,11.93,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,12.5,–,–,–,–,–,–,–,"23,298","185,804",–,1.1,1.03,1.11,Yes,2.1,-1.18,5.21,No,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,12.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,14.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,12.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,12.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,12.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q1 (lowest income),13.0,12.75,13.27,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Urban versus rural/remote,Urban,12.5,12.30,12.64,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q2,12.6,12.30,12.97,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Urban versus rural/remote,Rural/remote,12.3,11.94,12.65,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,11.7,11.29,12.03,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q4,11.9,11.47,12.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q5 (highest income),12.2,11.73,12.60,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,12.8,–,–,–,–,–,–,–,"23,923","187,233",–,1.1,1.05,1.14,Yes,5.4,2.19,8.59,Yes,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,12.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,14.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,12.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,12.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,13.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Urban versus rural/remote,Urban,12.6,12.45,12.79,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q1 (lowest income),13.0,12.77,13.30,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q2,13.0,12.71,13.38,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Urban versus rural/remote,Rural/remote,12.6,12.22,12.96,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q3,12.1,11.71,12.46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q4,12.1,11.73,12.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q5 (highest income),11.9,11.48,12.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,13.8,–,–,–,–,–,–,–,"24,997","180,778",–,1.1,1.04,1.12,Yes,4.4,1.31,7.47,Yes,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,8.1,–,–,–,–,–,–,–,–,–
