Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2017–2018,Urban versus rural/remote,Rural/remote,13.8,12.16,15.56,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q2,11.3,9.57,13.20,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q3,11.7,9.67,14.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q4,11.3,9.16,13.97,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q5 (highest income),12.4,10.17,15.11,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,11.9,11.01,12.95,No,–,–,–,–,–,–,–,1.0,0.76,1.21,No,-12.3,-34.09,6.58,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,9.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,12.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,14.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Age group,65+,–,–,–,–,–,–,–,–,–,–,10.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,11.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,13.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Urban versus rural/remote,Urban,11.9,10.81,13.09,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q1 (lowest income),12.8,11.21,14.66,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q2,13.1,11.09,15.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Urban versus rural/remote,Rural/remote,12.2,10.43,14.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,9.4,7.43,11.91,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q4,9.7,7.53,12.32,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q5 (highest income),13.4,10.84,16.41,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,11.9,10.96,12.88,No,–,–,–,–,–,–,–,1.1,0.84,1.40,No,-0.1,-22.22,18.64,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,7.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,9.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,12.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,14.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Age group,65+,–,–,–,–,–,–,–,–,–,–,11.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,11.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,13.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q1 (lowest income),12.6,11.00,14.44,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Urban versus rural/remote,Urban,11.4,10.32,12.54,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Urban versus rural/remote,Rural/remote,12.6,10.76,14.60,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q2,11.7,9.78,13.89,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q3,10.7,8.67,13.14,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q4,10.8,8.54,13.61,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q5 (highest income),11.7,9.36,14.44,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,11.0,10.04,11.98,Yes,–,–,–,–,–,–,–,1.0,0.75,1.38,No,-2.4,-29.15,19.58,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,5.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,10.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,11.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,13.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Age group,65+,–,–,–,–,–,–,–,–,–,–,7.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,10.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,11.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Urban versus rural/remote,Urban,10.4,9.38,11.62,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q1 (lowest income),11.4,9.76,13.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q2,11.4,9.42,13.82,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Urban versus rural/remote,Rural/remote,12.1,10.31,14.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q3,9.9,7.77,12.46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q4,10.1,7.97,12.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q5 (highest income),11.2,8.74,14.12,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,11.4,10.50,12.41,Yes,–,–,–,–,–,–,–,1.3,0.94,1.68,No,9.4,-14.65,28.98,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,2.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,10.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,13.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,12.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Age group,65+,–,–,–,–,–,–,–,–,–,–,7.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,11.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,11.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q1 (lowest income),12.9,11.29,14.65,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Urban versus rural/remote,Urban,11.6,10.56,12.80,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q2,10.7,8.76,13.02,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Urban versus rural/remote,Rural/remote,10.7,8.90,12.72,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q3,11.9,9.64,14.57,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q4,8.9,6.81,11.69,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q5 (highest income),10.3,8.08,12.92,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,10.0,9.07,10.98,Yes,–,–,–,–,–,–,–,1.0,0.73,1.40,No,-7.0,-36.26,16.98,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,1.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,9.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,12.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,11.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Age group,65+,–,–,–,–,–,–,–,–,–,–,5.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,9.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,10.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Urban versus rural/remote,Urban,9.5,8.47,10.73,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q1 (lowest income),10.5,8.89,12.36,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q2,9.7,7.76,11.99,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Urban versus rural/remote,Rural/remote,10.2,8.44,12.20,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q3,8.5,6.46,11.01,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q4,8.7,6.56,11.45,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q5 (highest income),10.4,8.05,13.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,9.9,8.99,10.92,Yes,–,–,–,–,–,–,–,0.9,0.68,1.28,No,-7.8,-36.34,15.65,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,3.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,8.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,11.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,11.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Age group,65+,–,–,–,–,–,–,–,–,–,–,5.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,9.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,10.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Urban versus rural/remote,Urban,10.0,8.86,11.21,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q1 (lowest income),9.9,8.32,11.78,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q2,10.8,8.77,13.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Urban versus rural/remote,Rural/remote,9.7,7.98,11.65,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q3,8.5,6.43,11.10,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q4,9.3,7.13,11.99,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q5 (highest income),10.6,8.29,13.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,10.4,9.41,11.52,Yes,Above average performance,No change,–,–,–,–,–,1.5,0.94,2.34,No,28.7,-4.12,52.01,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,0.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,10.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,12.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,9.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Age group,65+,–,–,–,–,–,–,–,–,–,–,10.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,9.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,11.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q1 (lowest income),11.0,9.18,13.19,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Urban versus rural/remote,Urban,10.2,8.99,11.59,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q2,12.2,9.89,14.87,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Urban versus rural/remote,Rural/remote,11.0,9.14,13.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q3,9.7,7.46,12.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
