"Data Table: Diabetes mellitus (types combined), excluding gestational diabetes, Age-standardized incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Case counts","Population",
"Saskatchewan","Females","Total","1+","2015–2016","614","11.6641","591","637","1.90","2890","545325",
"Saskatchewan","Males","Total","1+","2015–2016","893","14.8822","864","922","1.67","3855","546680",
"Saskatchewan","Both sexes","Total","1+","2016–2017","718","9.0227","700","736","1.26","6630","1110070",
"Saskatchewan","Females","Total","1+","2016–2017","607","11.4579","585","630","1.89","2915","554350",
"Saskatchewan","Males","Total","1+","2016–2017","841","14.2701","814","870","1.70","3715","555720",
"Saskatchewan","Both sexes","Total","1+","2017–2018","730","9.0417","713","748","1.24","6800","1125765",
"Saskatchewan","Females","Total","1+","2017–2018","614","11.4466","592","637","1.86","2980","561830",
"Saskatchewan","Males","Total","1+","2017–2018","859","14.3322","831","888","1.67","3825","563940",
"Saskatchewan","Both sexes","Total","1+","2018–2019","722","8.8713","705","740","1.23","6880","1145410",
"Saskatchewan","Females","Total","1+","2018–2019","600","11.2017","578","623","1.87","2960","571350",
"Saskatchewan","Males","Total","1+","2018–2019","858","14.0946","831","886","1.64","3920","574065",
"Saskatchewan","Both sexes","Total","1+","2019–2020","790","9.2603","771","808","1.17","7510","1141650",
"Saskatchewan","Females","Total","1+","2019–2020","671","11.7927","648","695","1.76","3325","570440",
"Saskatchewan","Males","Total","1+","2019–2020","922","14.6203","894","951","1.59","4185","571215",
"Saskatchewan","Both sexes","Total","1+","2020–2021*","742","8.8661","725","760","1.19","7215","1147185",
"Saskatchewan","Females","Total","1+","2020–2021*","625","11.2808","603","648","1.80","3140","573250",
"Saskatchewan","Males","Total","1+","2020–2021*","870","13.9543","843","898","1.60","4075","573935",
"Saskatchewan","Both sexes","Total","1+","2021–2022*","801","9.1484","783","819","1.14","7870","1157880",
"Saskatchewan","Females","Total","1+","2021–2022*","701","11.8651","678","724","1.69","3560","578425",
"Saskatchewan","Males","Total","1+","2021–2022*","914","14.2381","886","943","1.56","4305","579450",
"Saskatchewan","Both sexes","Total","1+","2022–2023*","760","8.8850","743","778","1.17","7515","1166365",
"Saskatchewan","Females","Total","1+","2022–2023*","666","11.5094","644","689","1.73","3420","583410",
"Saskatchewan","Males","Total","1+","2022–2023*","866","13.8081","839","894","1.59","4095","582950",
"Saskatchewan","Both sexes","Total","1+","2023–2024","826","9.1580","809","845","1.11","8390","1200875",
"Saskatchewan","Females","Total","1+","2023–2024","728","11.8945","705","752","1.63","3840","599675",
"Saskatchewan","Males","Total","1+","2023–2024","937","14.2072","909","965","1.52","4550","601205",
"Alberta","Both sexes","Total","1+","2000–2001","723","6.4077","710","735","0.89","14385","2974630",
"Alberta","Females","Total","1+","2000–2001","614","8.0714","598","630","1.32","6455","1488255",
"Alberta","Males","Total","1+","2000–2001","843","10.2498","823","863","1.22","7930","1486375",
"Alberta","Both sexes","Total","1+","2001–2002","727","6.3281","714","739","0.87","14985","3025500",
"Alberta","Females","Total","1+","2001–2002","615","7.9844","600","631","1.30","6655","1513685",
"Alberta","Males","Total","1+","2001–2002","850","10.1112","830","870","1.19","8330","1511810",
"Alberta","Both sexes","Total","1+","2002–2003","719","6.2126","707","731","0.86","15240","3069105",
"Alberta","Females","Total","1+","2002–2003","628","7.9542","613","644","1.27","7000","1536355",
"Alberta","Males","Total","1+","2002–2003","819","9.8193","800","839","1.20","8240","1532750",
"Alberta","Both sexes","Total","1+","2003–2004","695","6.0472","684","707","0.87","15025","3105155",
"Alberta","Females","Total","1+","2003–2004","609","7.7698","594","625","1.28","6865","1554510",
"Alberta","Males","Total","1+","2003–2004","792","9.5425","774","811","1.20","8160","1550645",
"Alberta","Both sexes","Total","1+","2004–2005","760","6.2670","748","773","0.82","16705","3135835",
"Alberta","Females","Total","1+","2004–2005","667","8.0594","652","683","1.21","7645","1571480",
"Alberta","Males","Total","1+","2004–2005","864","9.8796","845","884","1.14","9060","1564360",
"Alberta","Both sexes","Total","1+","2005–2006","759","6.1869","747","772","0.81","17165","3189830",
"Alberta","Females","Total","1+","2005–2006","663","7.9229","647","679","1.20","7845","1600250",
"Alberta","Males","Total","1+","2005–2006","869","9.7968","850","889","1.13","9320","1589580",
"Alberta","Both sexes","Total","1+","2006–2007","757","6.0687","745","769","0.80","17765","3284785",
"Alberta","Females","Total","1+","2006–2007","652","7.7210","637","667","1.18","7985","1647105",
"Alberta","Males","Total","1+","2006–2007","873","9.6093","854","892","1.10","9780","1637680",
"Alberta","Both sexes","Total","1+","2007–2008","736","5.8719","725","748","0.80","18005","3369470",
"Alberta","Females","Total","1+","2007–2008","623","7.4399","609","638","1.19","7880","1688155",
"Alberta","Males","Total","1+","2007–2008","861","9.3428","843","880","1.08","10130","1681325",
"Alberta","Both sexes","Total","1+","2008–2009","713","5.6584","702","724","0.79","18180","3454720",
"Alberta","Females","Total","1+","2008–2009","591","7.0863","577","605","1.20","7795","1730615",
"Alberta","Males","Total","1+","2008–2009","844","9.0505","827","862","1.07","10380","1724100",
"Alberta","Both sexes","Total","1+","2009–2010","779","5.8328","768","791","0.75","20405","3527330",
"Alberta","Females","Total","1+","2009–2010","645","7.3183","631","660","1.13","8680","1766675",
"Alberta","Males","Total","1+","2009–2010","923","9.2949","905","941","1.01","11725","1760655",
"Alberta","Both sexes","Total","1+","2010–2011","754","5.6640","743","765","0.75","20195","3613150",
"Alberta","Females","Total","1+","2010–2011","630","7.1367","616","644","1.13","8685","1808555",
"Alberta","Males","Total","1+","2010–2011","887","9.0004","870","905","1.01","11510","1804600",
"Alberta","Both sexes","Total","1+","2011–2012","761","5.5721","751","772","0.73","21195","3713560",
"Alberta","Females","Total","1+","2011–2012","653","7.1149","639","667","1.09","9335","1856405",
"Alberta","Males","Total","1+","2011–2012","879","8.7765","862","897","1.00","11860","1857155",
"Alberta","Both sexes","Total","1+","2012–2013","691","5.1708","681","701","0.75","20225","3855740",
"Alberta","Females","Total","1+","2012–2013","575","6.5135","562","588","1.13","8620","1921150",
"Alberta","Males","Total","1+","2012–2013","816","8.2223","799","832","1.01","11610","1934600",
"Alberta","Both sexes","Total","1+","2013–2014","718","5.1619","708","728","0.72","21860","4003435",
"Alberta","Females","Total","1+","2013–2014","599","6.5338","586","612","1.09","9265","1989155",
"Alberta","Males","Total","1+","2013–2014","845","8.1691","829","861","0.97","12600","2014280",
"Alberta","Both sexes","Total","1+","2014–2015","721","5.0332","712","731","0.70","23100","4132395",
"Alberta","Females","Total","1+","2014–2015","612","6.4189","599","624","1.05","9960","2050005",
"Alberta","Males","Total","1+","2014–2015","838","7.9124","823","854","0.94","13135","2082385",
"Alberta","Both sexes","Total","1+","2015–2016","728","4.9614","718","738","0.68","24060","4221320",
"Alberta","Females","Total","1+","2015–2016","613","6.3073","601","626","1.03","10330","2095690",
"Alberta","Males","Total","1+","2015–2016","849","7.8020","834","865","0.92","13735","2125630",
"Alberta","Both sexes","Total","1+","2016–2017","709","4.8029","700","718","0.68","24060","4275825",
"Alberta","Females","Total","1+","2016–2017","597","6.0971","585","609","1.02","10375","2127035",
"Alberta","Males","Total","1+","2016–2017","827","7.5584","812","842","0.91","13685","2148785",
"Alberta","Both sexes","Total","1+","2017–2018","682","4.6340","673","692","0.68","23675","4330920",
"Alberta","Females","Total","1+","2017–2018","575","5.8773","564","587","1.02","10250","2156655",
"Alberta","Males","Total","1+","2017–2018","798","7.3204","784","813","0.92","13425","2174260",
"Alberta","Both sexes","Total","1+","2018–2019","721","4.6877","712","731","0.65","25615","4404410",
"Alberta","Females","Total","1+","2018–2019","611","5.9609","599","623","0.98","11120","2193995",
"Alberta","Males","Total","1+","2018–2019","841","7.3860","827","856","0.88","14495","2210415",
"Alberta","Both sexes","Total","1+","2019–2020","782","4.7979","773","791","0.61","28480","4480570",
"Alberta","Females","Total","1+","2019–2020","671","6.1323","659","683","0.91","12585","2233440",
"Alberta","Males","Total","1+","2019–2020","904","7.5355","889","919","0.83","15885","2247120",
"Alberta","Both sexes","Total","1+","2020–2021*","675","4.3649","667","684","0.65","25495","4512455",
"Alberta","Females","Total","1+","2020–2021*","590","5.6423","579","601","0.96","11440","2250460",
"Alberta","Males","Total","1+","2020–2021*","768","6.7928","755","782","0.88","14055","2261995",
"Alberta","Both sexes","Total","1+","2021–2022*","802","4.6839","793","811","0.58","30990","4586425",
"Alberta","Females","Total","1+","2021–2022*","724","6.1589","712","736","0.85","14365","2287830",
"Alberta","Males","Total","1+","2021–2022*","887","7.1720","873","901","0.81","16630","2298595",
"Alberta","Both sexes","Total","1+","2022–2023*","850","4.7546","840","859","0.56","33685","4749460",
"Alberta","Females","Total","1+","2022–2023*","774","6.2759","762","787","0.81","15800","2369965",
"Alberta","Males","Total","1+","2022–2023*","936","7.2815","921","950","0.78","17885","2379500",
"Alberta","Both sexes","Total","1+","2023–2024","929","4.8669","920","939","0.52","38500","4952255",
"Alberta","Females","Total","1+","2023–2024","853","6.4557","840","866","0.76","18155","2469805",
"Alberta","Males","Total","1+","2023–2024","1014","7.3985","1000","1029","0.73","20345","2482445",
"British Columbia","Both sexes","Total","1+","2000–2001","699","4.9632","690","709","0.71","21465","3922560",
"British Columbia","Females","Total","1+","2000–2001","602","6.3354","590","615","1.05","9765","1987925",
"British Columbia","Males","Total","1+","2000–2001","806","7.7993","790","821","0.97","11705","1934640",
"British Columbia","Both sexes","Total","1+","2001–2002","710","4.9534","701","720","0.70","22270","3952710",
"British Columbia","Females","Total","1+","2001–2002","623","6.3990","611","636","1.03","10265","2003190",
"British Columbia","Males","Total","1+","2001–2002","807","7.7197","792","823","0.96","12005","1949525",
"British Columbia","Both sexes","Total","1+","2002–2003","719","4.9218","709","729","0.68","23095","3968025",
"British Columbia","Females","Total","1+","2002–2003","630","6.3427","618","643","1.01","10670","2011195",
"British Columbia","Males","Total","1+","2002–2003","818","7.6905","803","833","0.94","12425","1956830",
"British Columbia","Both sexes","Total","1+","2003–2004","749","4.9890","739","759","0.67","24280","4009495",
"British Columbia","Females","Total","1+","2003–2004","660","6.4535","648","673","0.98","11265","2029135",
"British Columbia","Males","Total","1+","2003–2004","847","7.7658","831","862","0.92","13015","1980360",
"British Columbia","Both sexes","Total","1+","2004–2005","793","5.0976","783","803","0.64","26070","4040725",
"British Columbia","Females","Total","1+","2004–2005","694","6.5719","682","708","0.95","12000","2043475",
"British Columbia","Males","Total","1+","2004–2005","903","7.9612","887","918","0.88","14065","1997240",
"British Columbia","Both sexes","Total","1+","2005–2006","795","5.0488","785","805","0.64","26715","4079695",
"British Columbia","Females","Total","1+","2005–2006","693","6.4981","680","706","0.94","12230","2063830",
"British Columbia","Males","Total","1+","2005–2006","906","7.8759","890","921","0.87","14480","2015865",
"British Columbia","Both sexes","Total","1+","2006–2007","839","5.1333","829","849","0.61","28775","4104820",
"British Columbia","Females","Total","1+","2006–2007","727","6.5879","714","740","0.91","13065","2079960",
"British Columbia","Males","Total","1+","2006–2007","962","8.0240","946","978","0.83","15710","2024860",
"British Columbia","Both sexes","Total","1+","2007–2008","803","4.9409","793","812","0.62","28310","4149220",
"British Columbia","Females","Total","1+","2007–2008","687","6.3075","675","700","0.92","12680","2102340",
"British Columbia","Males","Total","1+","2007–2008","928","7.7559","913","944","0.84","15630","2046880",
"British Columbia","Both sexes","Total","1+","2008–2009","851","5.0341","842","861","0.59","30625","4197305",
"British Columbia","Females","Total","1+","2008–2009","731","6.4386","719","744","0.88","13745","2127080",
"British Columbia","Males","Total","1+","2008–2009","984","7.8967","968","999","0.80","16880","2070225",
"British Columbia","Both sexes","Total","1+","2009–2010","888","5.0824","879","898","0.57","32615","4231575",
"British Columbia","Females","Total","1+","2009–2010","774","6.5503","761","787","0.85","14795","2147055",
"British Columbia","Males","Total","1+","2009–2010","1015","7.9242","1000","1031","0.78","17815","2084510",
"British Columbia","Both sexes","Total","1+","2010–2011","805","4.7800","796","815","0.59","30185","4268425",
"British Columbia","Females","Total","1+","2010–2011","695","6.1238","683","707","0.88","13590","2166815",
"British Columbia","Males","Total","1+","2010–2011","927","7.4794","912","942","0.81","16595","2101605",
"British Columbia","Both sexes","Total","1+","2011–2012","806","4.7315","797","816","0.59","30695","4297410",
"British Columbia","Females","Total","1+","2011–2012","710","6.1192","698","722","0.86","14135","2182395",
"British Columbia","Males","Total","1+","2011–2012","913","7.3526","899","928","0.81","16560","2115015",
"British Columbia","Both sexes","Total","1+","2012–2013","722","4.4144","714","731","0.61","28095","4317450",
"British Columbia","Females","Total","1+","2012–2013","632","5.6942","621","643","0.90","12835","2193260",
"British Columbia","Males","Total","1+","2012–2013","824","6.8811","810","838","0.84","15255","2124185",
"British Columbia","Both sexes","Total","1+","2013–2014","688","4.2561","679","696","0.62","27175","4327605",
"British Columbia","Females","Total","1+","2013–2014","600","5.4733","589","611","0.91","12430","2200185",
"British Columbia","Males","Total","1+","2013–2014","786","6.6465","773","799","0.85","14745","2127420",
"British Columbia","Both sexes","Total","1+","2014–2015","660","4.1151","652","668","0.62","26600","4361870",
"British Columbia","Females","Total","1+","2014–2015","572","5.2700","561","582","0.92","12095","2219155",
"British Columbia","Males","Total","1+","2014–2015","759","6.4484","746","772","0.85","14505","2142710",
"British Columbia","Both sexes","Total","1+","2015–2016","633","3.9689","625","640","0.63","26135","4415425",
"British Columbia","Females","Total","1+","2015–2016","534","5.0173","525","544","0.94","11615","2246900",
"British Columbia","Males","Total","1+","2015–2016","742","6.2843","730","755","0.85","14515","2168525",
"British Columbia","Both sexes","Total","1+","2016–2017","628","3.8948","620","636","0.62","26565","4482310",
"British Columbia","Females","Total","1+","2016–2017","533","4.9398","523","542","0.93","11820","2281160",
"British Columbia","Males","Total","1+","2016–2017","735","6.1484","723","747","0.84","14740","2201145",
"British Columbia","Both sexes","Total","1+","2017–2018","649","3.9108","642","657","0.60","28015","4564985",
"British Columbia","Females","Total","1+","2017–2018","552","4.9681","542","562","0.90","12500","2322595",
"British Columbia","Males","Total","1+","2017–2018","758","6.1613","746","770","0.81","15515","2242395",
"British Columbia","Both sexes","Total","1+","2018–2019","695","3.9999","687","703","0.58","30530","4651280",
"British Columbia","Females","Total","1+","2018–2019","586","5.0615","576","596","0.86","13520","2366185",
"British Columbia","Males","Total","1+","2018–2019","816","6.3222","804","829","0.77","17005","2285085",
"British Columbia","Both sexes","Total","1+","2019–2020","687","3.9294","680","695","0.57","30870","4752760",
"British Columbia","Females","Total","1+","2019–2020","580","4.9750","571","590","0.86","13690","2417480",
"British Columbia","Males","Total","1+","2019–2020","807","6.2099","795","819","0.77","17185","2335290",
"British Columbia","Both sexes","Total","1+","2020–2021*","659","3.8022","652","667","0.58","30270","4803685",
"British Columbia","Females","Total","1+","2020–2021*","562","4.8372","552","572","0.86","13565","2445075",
"British Columbia","Males","Total","1+","2020–2021*","768","5.9836","756","780","0.78","16715","2358620",
"British Columbia","Both sexes","Total","1+","2021–2022*","735","3.9667","727","743","0.54","34550","4936170",
"British Columbia","Females","Total","1+","2021–2022*","652","5.1483","642","662","0.79","16095","2512920",
"British Columbia","Males","Total","1+","2021–2022*","829","6.1407","817","841","0.74","18450","2423240",
"British Columbia","Both sexes","Total","1+","2022–2023*","802","4.0930","794","810","0.51","38695","5107460",
"British Columbia","Females","Total","1+","2022–2023*","722","5.3518","712","733","0.74","18330","2599225",
"British Columbia","Males","Total","1+","2022–2023*","893","6.3027","881","905","0.71","20370","2508240",
"British Columbia","Both sexes","Total","1+","2023–2024","733","3.8621","726","741","0.53","36475","5279345",
"British Columbia","Females","Total","1+","2023–2024","664","5.0661","654","674","0.76","17330","2685015",
"British Columbia","Males","Total","1+","2023–2024","812","5.9228","800","824","0.73","19145","2594330",
"Yukon","Both sexes","Total","1+","2000–2001","","","","","","","",
"Yukon","Females","Total","1+","2000–2001","","","","","","","",
"Yukon","Males","Total","1+","2000–2001","","","","","","","",
"Yukon","Both sexes","Total","1+","2001–2002","","","","","","","",
"Yukon","Females","Total","1+","2001–2002","","","","","","","",
"Yukon","Males","Total","1+","2001–2002","","","","","","","",
"Yukon","Both sexes","Total","1+","2002–2003","","","","","","","",
"Yukon","Females","Total","1+","2002–2003","","","","","","","",
"Yukon","Males","Total","1+","2002–2003","","","","","","","",
"Yukon","Both sexes","Total","1+","2003–2004","","","","","","","",
"Yukon","Females","Total","1+","2003–2004","","","","","","","",
"Yukon","Males","Total","1+","2003–2004","","","","","","","",
"Yukon","Both sexes","Total","1+","2004–2005","","","","","","","",
"Yukon","Females","Total","1+","2004–2005","","","","","","","",
"Yukon","Males","Total","1+","2004–2005","","","","","","","",
"Yukon","Both sexes","Total","1+","2005–2006","","","","","","","",
"Yukon","Females","Total","1+","2005–2006","","","","","","","",
"Yukon","Males","Total","1+","2005–2006","","","","","","","",
"Yukon","Both sexes","Total","1+","2006–2007","","","","","","","",
"Yukon","Females","Total","1+","2006–2007","","","","","","","",
"Yukon","Males","Total","1+","2006–2007","","","","","","","",
"Yukon","Both sexes","Total","1+","2007–2008","","","","","","","",
"Yukon","Females","Total","1+","2007–2008","","","","","","","",
"Yukon","Males","Total","1+","2007–2008","","","","","","","",
"Yukon","Both sexes","Total","1+","2008–2009","","","","","","","",
"Yukon","Females","Total","1+","2008–2009","","","","","","","",
"Yukon","Males","Total","1+","2008–2009","","","","","","","",
"Yukon","Both sexes","Total","1+","2009–2010","","","","","","","",
"Yukon","Females","Total","1+","2009–2010","","","","","","","",
"Yukon","Males","Total","1+","2009–2010","","","","","","","",
"Yukon","Both sexes","Total","1+","2010–2011","753","63.0488","634","898","8.38","185","34970",
"Yukon","Females","Total","1+","2010–2011","698","87.7860","537","907","12.57","85","17110",
"Yukon","Males","Total","1+","2010–2011","798","89.9705","632","1037","11.27","105","17865",
"Yukon","Both sexes","Total","1+","2011–2012","870","63.2191","750","1015","7.27","245","35670",
"Yukon","Females","Total","1+","2011–2012","732","85.2047","575","936","11.63","100","17500",
"Yukon","Males","Total","1+","2011–2012","986","91.5563","815","1226","9.28","145","18170",
"Yukon","Both sexes","Total","1+","2012–2013","812","57.0815","704","944","7.03","255","36490",
"Yukon","Females","Total","1+","2012–2013","711","76.0457","570","898","10.69","110","17850",
"Yukon","Males","Total","1+","2012–2013","896","83.8738","740","1112","9.36","145","18640",
"Yukon","Both sexes","Total","1+","2013–2014","715","53.3644","614","836","7.46","225","36785",
"Yukon","Females","Total","1+","2013–2014","690","74.6658","551","869","10.82","105","17965",
"Yukon","Males","Total","1+","2013–2014","731","74.0435","593","925","10.14","120","18820",
"Yukon","Both sexes","Total","1+","2014–2015","617","48.6867","525","730","7.89","195","37120",
"Yukon","Females","Total","1+","2014–2015","482","63.7860","366","638","13.22","70","18175",
"Yukon","Males","Total","1+","2014–2015","743","73.0987","607","939","9.83","125","18950",
"Yukon","Both sexes","Total","1+","2015–2016","527","42.1384","447","625","8.00","180","37685",
"Yukon","Females","Total","1+","2015–2016","413","52.8305","316","543","12.78","70","18500",
"Yukon","Males","Total","1+","2015–2016","634","65.3695","513","810","10.30","110","19185",
"Yukon","Both sexes","Total","1+","2016–2017","635","47.3829","546","742","7.46","215","38455",
"Yukon","Females","Total","1+","2016–2017","532","59.3369","422","674","11.15","90","18910",
"Yukon","Males","Total","1+","2016–2017","749","78.4401","603","947","10.47","125","19550",
"Yukon","Both sexes","Total","1+","2017–2018","612","44.5763","528","713","7.28","220","39405",
"Yukon","Females","Total","1+","2017–2018","496","59.0937","387","636","11.91","85","19410",
"Yukon","Males","Total","1+","2017–2018","728","67.8569","601","899","9.33","135","19995",
"Yukon","Both sexes","Total","1+","2018–2019","686","46.7044","598","790","6.81","245","39965",
"Yukon","Females","Total","1+","2018–2019","582","59.9587","471","722","10.30","105","19725",
"Yukon","Males","Total","1+","2018–2019","780","71.3288","647","956","9.14","135","20235",
"Yukon","Both sexes","Total","1+","2019–2020","708","45.2768","622","808","6.40","265","40775",
"Yukon","Females","Total","1+","2019–2020","568","57.7424","460","703","10.17","105","20155",
"Yukon","Males","Total","1+","2019–2020","845","69.9247","714","1018","8.27","160","20620",
"Yukon","Both sexes","Total","1+","2020–2021*","738","48.7654","645","844","6.61","260","41215",
"Yukon","Females","Total","1+","2020–2021*","671","67.1134","546","824","9.99","115","20470",
"Yukon","Males","Total","1+","2020–2021*","801","71.3595","668","971","8.90","145","20745",
"Yukon","Both sexes","Total","1+","2021–2022*","700","44.4878","616","797","6.35","265","42020",
"Yukon","Females","Total","1+","2021–2022*","584","57.5362","477","716","9.85","110","20875",
"Yukon","Males","Total","1+","2021–2022*","802","65.9065","678","960","8.22","160","21150",
"Yukon","Both sexes","Total","1+","2022–2023*","506","36.5558","437","587","7.23","200","42880",
"Yukon","Females","Total","1+","2022–2023*","488","51.4838","392","607","10.55","95","21240",
"Yukon","Males","Total","1+","2022–2023*","523","51.9125","426","652","9.93","110","21645",
"Yukon","Both sexes","Total","1+","2023–2024","573","40.1412","497","661","7.01","220","43875",
"Yukon","Females","Total","1+","2023–2024","511","52.6736","413","634","10.30","105","21745",
"Yukon","Males","Total","1+","2023–2024","640","61.8157","524","788","9.66","120","22135",
"Northwest Territories","Both sexes","Total","1+","2000–2001","752","72.0751","618","917","9.58","175","43010",
"Northwest Territories","Females","Total","1+","2000–2001","792","107.9043","595","1061","13.63","90","20805",
"Northwest Territories","Males","Total","1+","2000–2001","701","92.6799","531","946","13.23","90","22210",
"Northwest Territories","Both sexes","Total","1+","2001–2002","772","75.4020","631","947","9.77","185","42775",
"Northwest Territories","Females","Total","1+","2001–2002","766","112.6528","561","1041","14.71","85","20620",
"Northwest Territories","Males","Total","1+","2001–2002","774","102.7330","586","1047","13.27","100","22160",
"Northwest Territories","Both sexes","Total","1+","2002–2003","790","72.3765","654","958","9.17","200","43415",
"Northwest Territories","Females","Total","1+","2002–2003","853","112.4251","647","1122","13.18","95","20900",
"Northwest Territories","Males","Total","1+","2002–2003","721","89.2893","557","968","12.38","105","22515",
"Northwest Territories","Both sexes","Total","1+","2003–2004","894","81.7328","741","1081","9.14","200","43320",
"Northwest Territories","Females","Total","1+","2003–2004","968","128.2351","733","1273","13.25","95","20955",
"Northwest Territories","Males","Total","1+","2003–2004","832","104.6908","640","1114","12.58","110","22370",
"Northwest Territories","Both sexes","Total","1+","2004–2005","884","77.8709","738","1066","8.81","215","44515",
"Northwest Territories","Females","Total","1+","2004–2005","789","107.9466","592","1069","13.67","95","21480",
"Northwest Territories","Males","Total","1+","2004–2005","964","112.0904","757","1306","11.62","115","23030",
"Northwest Territories","Both sexes","Total","1+","2005–2006","799","70.6622","666","963","8.85","205","44930",
"Northwest Territories","Females","Total","1+","2005–2006","749","106.9392","554","1018","14.28","80","21675",
"Northwest Territories","Males","Total","1+","2005–2006","846","95.5959","669","1124","11.31","120","23250",
"Northwest Territories","Both sexes","Total","1+","2006–2007","809","71.6202","675","975","8.85","210","44835",
"Northwest Territories","Females","Total","1+","2006–2007","832","101.3020","645","1081","12.18","110","21695",
"Northwest Territories","Males","Total","1+","2006–2007","806","103.8531","615","1075","12.89","100","23140",
"Northwest Territories","Both sexes","Total","1+","2007–2008","927","80.6204","776","1111","8.70","230","45550",
"Northwest Territories","Females","Total","1+","2007–2008","865","112.5749","659","1133","13.01","105","22085",
"Northwest Territories","Males","Total","1+","2007–2008","970","114.0411","760","1265","11.75","125","23460",
"Northwest Territories","Both sexes","Total","1+","2008–2009","635","57.9115","526","774","9.12","190","46060",
"Northwest Territories","Females","Total","1+","2008–2009","663","88.4643","501","887","13.34","95","22320",
"Northwest Territories","Males","Total","1+","2008–2009","598","73.7025","462","814","12.32","105","23745",
"Northwest Territories","Both sexes","Total","1+","2009–2010","756","64.0264","635","906","8.47","225","46575",
"Northwest Territories","Females","Total","1+","2009–2010","625","81.0795","476","833","12.98","90","22595",
"Northwest Territories","Males","Total","1+","2009–2010","885","102.0688","696","1144","11.54","135","23985",
"Northwest Territories","Both sexes","Total","1+","2010–2011","752","60.4295","638","892","8.04","225","42250",
"Northwest Territories","Females","Total","1+","2010–2011","705","84.3341","550","911","11.96","105","20855",
"Northwest Territories","Males","Total","1+","2010–2011","791","87.0989","630","1016","11.00","120","21395",
"Northwest Territories","Both sexes","Total","1+","2011–2012","668","57.8852","559","801","8.67","205","43355",
"Northwest Territories","Females","Total","1+","2011–2012","527","70.0732","399","702","13.28","85","21350",
"Northwest Territories","Males","Total","1+","2011–2012","783","89.8742","617","1010","11.48","115","22000",
"Northwest Territories","Both sexes","Total","1+","2012–2013","689","59.2648","578","823","8.60","200","44380",
"Northwest Territories","Females","Total","1+","2012–2013","601","79.8621","455","792","13.29","90","21815",
"Northwest Territories","Males","Total","1+","2012–2013","760","86.0278","601","974","11.32","115","22575",
"Northwest Territories","Both sexes","Total","1+","2013–2014","732","61.2186","617","871","8.36","210","44645",
"Northwest Territories","Females","Total","1+","2013–2014","710","85.3508","553","912","12.01","100","21915",
"Northwest Territories","Males","Total","1+","2013–2014","758","89.7581","592","984","11.84","110","22735",
"Northwest Territories","Both sexes","Total","1+","2014–2015","650","53.9518","549","774","8.30","205","43320",
"Northwest Territories","Females","Total","1+","2014–2015","530","68.4763","405","700","12.91","80","21370",
"Northwest Territories","Males","Total","1+","2014–2015","757","82.0738","605","971","10.84","120","21945",
"Northwest Territories","Both sexes","Total","1+","2015–2016","702","54.0487","600","827","7.69","230","43775",
"Northwest Territories","Females","Total","1+","2015–2016","665","76.5127","524","849","11.50","105","21560",
"Northwest Territories","Males","Total","1+","2015–2016","743","78.5980","597","948","10.57","130","22215",
"Northwest Territories","Both sexes","Total","1+","2016–2017","711","58.4044","601","844","8.22","210","43990",
"Northwest Territories","Females","Total","1+","2016–2017","599","73.9469","463","776","12.34","90","21665",
"Northwest Territories","Males","Total","1+","2016–2017","810","89.2927","644","1036","11.02","120","22325",
"Northwest Territories","Both sexes","Total","1+","2017–2018","787","55.9830","681","915","7.11","260","43320",
"Northwest Territories","Females","Total","1+","2017–2018","725","77.0124","582","911","10.62","120","21410",
"Northwest Territories","Males","Total","1+","2017–2018","839","80.5198","689","1056","9.59","140","21910",
"Northwest Territories","Both sexes","Total","1+","2018–2019","759","54.5744","656","884","7.19","255","43480",
"Northwest Territories","Females","Total","1+","2018–2019","686","75.8489","545","872","11.06","115","21490",
"Northwest Territories","Males","Total","1+","2018–2019","823","77.9171","677","1029","9.47","145","21995",
"Northwest Territories","Both sexes","Total","1+","2019–2020","829","58.3755","719","964","7.04","265","43545",
"Northwest Territories","Females","Total","1+","2019–2020","693","73.6084","556","871","10.62","115","21535",
"Northwest Territories","Males","Total","1+","2019–2020","964","91.9438","792","1208","9.54","150","22010",
"Northwest Territories","Both sexes","Total","1+","2020–2021*","921","58.6064","809","1058","6.37","305","42810",
"Northwest Territories","Females","Total","1+","2020–2021*","818","77.0972","674","1005","9.43","140","21230",
"Northwest Territories","Males","Total","1+","2020–2021*","1011","87.5684","846","1257","8.66","165","21580",
"Northwest Territories","Both sexes","Total","1+","2021–2022*","944","58.2644","833","1076","6.17","320","42860",
"Northwest Territories","Females","Total","1+","2021–2022*","713","68.4513","585","878","9.61","125","21295",
"Northwest Territories","Males","Total","1+","2021–2022*","1169","95.0648","990","1401","8.13","195","21565",
"Northwest Territories","Both sexes","Total","1+","2022–2023*","894","56.6547","787","1024","6.33","295","42410",
"Northwest Territories","Females","Total","1+","2022–2023*","888","80.7253","737","1079","9.09","145","21140",
"Northwest Territories","Males","Total","1+","2022–2023*","903","79.9061","754","1109","8.84","155","21275",
"Northwest Territories","Both sexes","Total","1+","2023–2024","775","52.1475","676","896","6.73","260","41295",
"Northwest Territories","Females","Total","1+","2023–2024","715","71.6666","581","890","10.02","120","20700",
