"Data Table: Diabetes mellitus (types combined), excluding gestational diabetes, Age-standardized incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Case counts","Population",
"Manitoba","Both sexes","Total","1+","2000–2001","751","9.6742","732","770","1.29","6555","1126150",
"Manitoba","Females","Total","1+","2000–2001","687","12.6426","662","712","1.84","3230","569665",
"Manitoba","Males","Total","1+","2000–2001","825","14.9895","796","855","1.82","3330","556495",
"Manitoba","Both sexes","Total","1+","2001–2002","768","9.7779","749","788","1.27","6715","1125195",
"Manitoba","Females","Total","1+","2001–2002","681","12.6083","657","706","1.85","3185","569140",
"Manitoba","Males","Total","1+","2001–2002","871","15.3933","841","902","1.77","3525","556050",
"Manitoba","Both sexes","Total","1+","2002–2003","761","9.6530","742","780","1.27","6770","1124290",
"Manitoba","Females","Total","1+","2002–2003","675","12.4254","651","700","1.84","3220","568720",
"Manitoba","Males","Total","1+","2002–2003","860","15.1611","830","890","1.76","3550","555565",
"Manitoba","Both sexes","Total","1+","2003–2004","725","9.4047","707","744","1.30","6480","1127870",
"Manitoba","Females","Total","1+","2003–2004","638","12.0589","615","662","1.89","3050","570295",
"Manitoba","Males","Total","1+","2003–2004","826","14.8379","798","856","1.80","3430","557570",
"Manitoba","Both sexes","Total","1+","2004–2005","767","9.6759","748","786","1.26","6840","1131375",
"Manitoba","Females","Total","1+","2004–2005","703","12.7067","678","729","1.81","3340","572210",
"Manitoba","Males","Total","1+","2004–2005","840","14.9284","811","870","1.78","3500","559165",
"Manitoba","Both sexes","Total","1+","2005–2006","773","9.6694","754","792","1.25","6975","1132450",
"Manitoba","Females","Total","1+","2005–2006","688","12.4462","663","713","1.81","3325","572795",
"Manitoba","Males","Total","1+","2005–2006","872","15.1882","842","902","1.74","3645","559650",
"Manitoba","Both sexes","Total","1+","2006–2007","764","9.5535","745","783","1.25","6960","1134100",
"Manitoba","Females","Total","1+","2006–2007","681","12.3392","657","706","1.81","3305","573665",
"Manitoba","Males","Total","1+","2006–2007","858","14.9358","829","888","1.74","3655","560435",
"Manitoba","Both sexes","Total","1+","2007–2008","717","9.1397","699","735","1.27","6670","1138995",
"Manitoba","Females","Total","1+","2007–2008","620","11.6517","597","643","1.88","3060","576215",
"Manitoba","Males","Total","1+","2007–2008","830","14.5079","802","859","1.75","3615","562780",
"Manitoba","Both sexes","Total","1+","2008–2009","689","8.8649","672","707","1.29","6530","1148885",
"Manitoba","Females","Total","1+","2008–2009","609","11.4667","587","632","1.88","3030","581370",
"Manitoba","Males","Total","1+","2008–2009","777","13.8082","751","805","1.78","3500","567515",
"Manitoba","Both sexes","Total","1+","2009–2010","723","9.0112","706","741","1.25","6945","1159590",
"Manitoba","Females","Total","1+","2009–2010","634","11.5731","611","657","1.83","3215","586830",
"Manitoba","Males","Total","1+","2009–2010","823","14.1324","796","852","1.72","3730","572755",
"Manitoba","Both sexes","Total","1+","2010–2011","741","9.0302","724","759","1.22","7245","1175005",
"Manitoba","Females","Total","1+","2010–2011","663","11.7270","640","686","1.77","3415","594550",
"Manitoba","Males","Total","1+","2010–2011","831","14.0734","804","859","1.69","3835","580460",
"Manitoba","Both sexes","Total","1+","2011–2012","775","9.1111","757","793","1.18","7740","1190815",
"Manitoba","Females","Total","1+","2011–2012","664","11.5552","642","688","1.74","3505","601800",
"Manitoba","Males","Total","1+","2011–2012","900","14.4567","872","929","1.61","4240","589025",
"Manitoba","Both sexes","Total","1+","2012–2013","896","9.7847","877","916","1.09","8925","1208570",
"Manitoba","Females","Total","1+","2012–2013","774","12.4529","750","799","1.61","4075","609755",
"Manitoba","Males","Total","1+","2012–2013","1035","15.4893","1005","1066","1.50","4850","598810",
"Manitoba","Both sexes","Total","1+","2013–2014","913","9.7852","894","932","1.07","9215","1221870",
"Manitoba","Females","Total","1+","2013–2014","805","12.5914","780","830","1.56","4285","615875",
"Manitoba","Males","Total","1+","2013–2014","1040","15.4022","1010","1070","1.48","4930","605995",
"Manitoba","Both sexes","Total","1+","2014–2015","893","9.5811","874","912","1.07","9160","1234810",
"Manitoba","Females","Total","1+","2014–2015","767","12.1742","744","792","1.59","4150","621830",
"Manitoba","Males","Total","1+","2014–2015","1034","15.1686","1004","1064","1.47","5010","612980",
"Manitoba","Both sexes","Total","1+","2015–2016","856","9.2795","838","875","1.08","8940","1245275",
"Manitoba","Females","Total","1+","2015–2016","744","11.8688","721","768","1.60","4080","626930",
"Manitoba","Males","Total","1+","2015–2016","982","14.5943","953","1011","1.49","4860","618345",
"Manitoba","Both sexes","Total","1+","2016–2017","834","9.0412","817","852","1.08","8880","1259890",
"Manitoba","Females","Total","1+","2016–2017","736","11.6736","713","759","1.59","4110","633985",
"Manitoba","Males","Total","1+","2016–2017","945","14.1297","918","974","1.49","4775","625905",
"Manitoba","Both sexes","Total","1+","2017–2018","775","8.6296","758","792","1.11","8365","1272785",
"Manitoba","Females","Total","1+","2017–2018","675","11.0773","654","697","1.64","3820","640420",
"Manitoba","Males","Total","1+","2017–2018","888","13.5710","862","915","1.53","4545","632365",
"Manitoba","Both sexes","Total","1+","2018–2019","794","8.6718","777","811","1.09","8650","1278610",
"Manitoba","Females","Total","1+","2018–2019","678","11.0285","656","700","1.63","3870","643925",
"Manitoba","Males","Total","1+","2018–2019","923","13.6968","896","950","1.48","4785","634695",
"Manitoba","Both sexes","Total","1+","2019–2020","799","8.6390","782","816","1.08","8780","1275960",
"Manitoba","Females","Total","1+","2019–2020","708","11.1905","686","730","1.58","4080","643820",
"Manitoba","Males","Total","1+","2019–2020","901","13.4422","875","928","1.49","4705","632145",
"Manitoba","Both sexes","Total","1+","2020–2021*","753","8.3191","736","769","1.11","8385","1279780",
"Manitoba","Females","Total","1+","2020–2021*","669","10.8142","648","690","1.62","3890","645865",
"Manitoba","Males","Total","1+","2020–2021*","847","12.8978","821","872","1.52","4490","633905",
"Manitoba","Both sexes","Total","1+","2021–2022*","879","8.9427","862","897","1.02","9880","1294225",
"Manitoba","Females","Total","1+","2021–2022*","814","11.8744","790","837","1.46","4770","652700",
"Manitoba","Males","Total","1+","2021–2022*","957","13.6402","930","984","1.43","5110","641530",
"Manitoba","Both sexes","Total","1+","2022–2023*","967","9.3386","949","986","0.97","10975","1332455",
"Manitoba","Females","Total","1+","2022–2023*","899","12.4033","875","923","1.38","5345","671255",
"Manitoba","Males","Total","1+","2022–2023*","1049","14.2512","1021","1077","1.36","5630","661200",
"Manitoba","Both sexes","Total","1+","2023–2024","984","9.3280","966","1002","0.95","11415","1358190",
"Manitoba","Females","Total","1+","2023–2024","924","12.4574","899","948","1.35","5610","684410",
"Manitoba","Males","Total","1+","2023–2024","1053","14.1126","1026","1081","1.34","5810","673785",
"Saskatchewan","Both sexes","Total","1+","2000–2001","660","9.6391","641","679","1.46","5065","1000935",
"Saskatchewan","Females","Total","1+","2000–2001","570","12.2657","546","595","2.15","2360","504125",
"Saskatchewan","Males","Total","1+","2000–2001","764","15.2464","734","794","2.00","2705","496815",
"Saskatchewan","Both sexes","Total","1+","2001–2002","692","9.8479","673","712","1.42","5350","997310",
"Saskatchewan","Females","Total","1+","2001–2002","594","12.5561","569","619","2.11","2445","502090",
"Saskatchewan","Males","Total","1+","2001–2002","804","15.5377","774","835","1.93","2905","495215",
"Saskatchewan","Both sexes","Total","1+","2002–2003","713","9.9853","694","733","1.40","5530","994795",
"Saskatchewan","Females","Total","1+","2002–2003","609","12.6311","584","634","2.07","2540","500860",
"Saskatchewan","Males","Total","1+","2002–2003","831","15.8421","800","862","1.91","2990","493940",
"Saskatchewan","Both sexes","Total","1+","2003–2004","674","9.7047","655","693","1.44","5210","979740",
"Saskatchewan","Females","Total","1+","2003–2004","585","12.3954","561","610","2.12","2430","494415",
"Saskatchewan","Males","Total","1+","2003–2004","776","15.3227","746","807","1.97","2785","485330",
"Saskatchewan","Both sexes","Total","1+","2004–2005","696","9.8701","676","715","1.42","5380","982325",
"Saskatchewan","Females","Total","1+","2004–2005","612","12.7125","588","638","2.08","2525","495175",
"Saskatchewan","Males","Total","1+","2004–2005","791","15.4429","761","822","1.95","2855","487150",
"Saskatchewan","Both sexes","Total","1+","2005–2006","746","10.1845","726","766","1.37","5805","981930",
"Saskatchewan","Females","Total","1+","2005–2006","663","13.1772","637","689","1.99","2755","494570",
"Saskatchewan","Males","Total","1+","2005–2006","843","15.9182","812","875","1.89","3050","487360",
"Saskatchewan","Both sexes","Total","1+","2006–2007","819","10.6899","798","841","1.30","6335","969360",
"Saskatchewan","Females","Total","1+","2006–2007","714","13.6934","687","741","1.92","2955","489225",
"Saskatchewan","Males","Total","1+","2006–2007","939","16.7992","906","972","1.79","3385","480145",
"Saskatchewan","Both sexes","Total","1+","2007–2008","809","10.4909","788","829","1.30","6405","983165",
"Saskatchewan","Females","Total","1+","2007–2008","691","13.3241","665","717","1.93","2905","495125",
"Saskatchewan","Males","Total","1+","2007–2008","945","16.6638","912","978","1.76","3495","488030",
"Saskatchewan","Both sexes","Total","1+","2008–2009","769","10.1529","749","789","1.32","6180","999550",
"Saskatchewan","Females","Total","1+","2008–2009","666","12.9674","640","692","1.95","2840","502120",
"Saskatchewan","Males","Total","1+","2008–2009","881","15.9176","850","912","1.81","3340","497425",
"Saskatchewan","Both sexes","Total","1+","2009–2010","781","10.1691","762","802","1.30","6355","1002150",
"Saskatchewan","Females","Total","1+","2009–2010","665","12.9545","640","691","1.95","2830","503785",
"Saskatchewan","Males","Total","1+","2009–2010","912","16.0607","881","944","1.76","3525","498365",
"Saskatchewan","Both sexes","Total","1+","2010–2011","743","9.8397","724","763","1.32","6125","1019190",
"Saskatchewan","Females","Total","1+","2010–2011","624","12.3939","600","649","1.98","2725","511705",
"Saskatchewan","Males","Total","1+","2010–2011","875","15.6669","845","907","1.79","3400","507480",
"Saskatchewan","Both sexes","Total","1+","2011–2012","722","9.6015","703","741","1.33","6055","1039470",
"Saskatchewan","Females","Total","1+","2011–2012","610","12.1620","586","634","1.99","2680","520535",
"Saskatchewan","Males","Total","1+","2011–2012","848","15.2341","819","879","1.80","3375","518935",
"Saskatchewan","Both sexes","Total","1+","2012–2013","703","9.3589","685","721","1.33","6005","1050320",
"Saskatchewan","Females","Total","1+","2012–2013","575","11.7055","552","598","2.04","2555","525750",
"Saskatchewan","Males","Total","1+","2012–2013","845","14.9702","816","875","1.77","3450","524565",
"Saskatchewan","Both sexes","Total","1+","2013–2014","696","9.1999","678","714","1.32","6080","1069575",
"Saskatchewan","Females","Total","1+","2013–2014","572","11.5056","550","595","2.01","2615","534205",
"Saskatchewan","Males","Total","1+","2013–2014","833","14.7204","804","862","1.77","3465","535365",
"Saskatchewan","Both sexes","Total","1+","2014–2015","724","9.2565","706","742","1.28","6480","1093700",
"Saskatchewan","Females","Total","1+","2014–2015","606","11.6932","583","629","1.93","2820","545315",
"Saskatchewan","Males","Total","1+","2014–2015","855","14.6843","826","884","1.72","3655","548380",
"Saskatchewan","Both sexes","Total","1+","2015–2016","746","9.3197","728","765","1.25","6750","1092010",
