Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
Halton Region Health Department (Ont.),Ontario,Halton Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,173,"Per 100,000",163,183,-,-,-,-,-,-,"October 15, 2025"
Halton Region Health Department (Ont.),Ontario,Halton Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,204,"Per 100,000",193,215,-,-,-,-,-,-,"October 15, 2025"
Richmond HSDA (B.C.),British Columbia,Richmond HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,204,"Per 100,000",188,222,-,-,-,-,-,-,"October 15, 2025"
Fraser Health (B.C.),British Columbia,Fraser Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,329,"Per 100,000",321,337,-,-,-,-,-,-,"October 15, 2025"
Fraser Health (B.C.),British Columbia,Fraser Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,329,"Per 100,000",321,337,-,-,-,-,-,-,"October 15, 2025"
Hastings Prince Edward Public Health (Ont.),Ontario,Hastings Prince Edward Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,329,"Per 100,000",305,356,-,-,-,-,-,-,"October 15, 2025"
Huron Perth Public Health (Ont.),Ontario,Huron Perth Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,401,"Per 100,000",372,433,-,-,-,-,-,-,"October 15, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,401,"Per 100,000",371,433,-,-,-,-,-,-,"October 15, 2025"
Ontario,Ontario,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,339,"Per 100,000",336,341,-,-,-,2.8,39.5,-,"October 15, 2025"
Ontario,Ontario,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,339,"Per 100,000",337,342,-,-,-,2.8,39.4,-,"October 15, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,339,"Per 100,000",330,348,-,-,-,-,-,-,"October 15, 2025"
Huron Perth Public Health (Ont.),Ontario,Huron Perth Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,339,"Per 100,000",313,367,-,-,-,-,-,-,"October 15, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,339,"Per 100,000",306,377,-,-,-,-,-,-,"October 15, 2025"
East Kootenay HSDA (B.C.),British Columbia,East Kootenay HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,426,"Per 100,000",387,469,-,-,-,-,-,-,"October 15, 2025"
"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Ontario,"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,426,"Per 100,000",400,454,-,-,-,-,-,-,"October 15, 2025"
South West Zone (Sask.),Saskatchewan,South West Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,426,"Per 100,000",394,461,-,-,-,-,-,-,"October 15, 2025"
Fraser South HSDA (B.C.),British Columbia,Fraser South HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,349,"Per 100,000",337,362,-,-,-,-,-,-,"October 15, 2025"
Fraser South HSDA (B.C.),British Columbia,Fraser South HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,349,"Per 100,000",337,361,-,-,-,-,-,-,"October 15, 2025"
"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Ontario,"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,349,"Per 100,000",326,374,-,-,-,-,-,-,"October 15, 2025"
