Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,472,"Per 100,000",435,515,-,-,-,-,-,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,472,"Per 100,000",446,500,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,460,"Per 100,000",424,500,-,-,-,-,-,-,"October 15, 2025"
Hamilton Public Health Services (Ont.),Ontario,Hamilton Public Health Services (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,460,"Per 100,000",444,477,-,-,-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,460,"Per 100,000",445,475,-,-,-,-,-,-,"October 15, 2025"
New Brunswick,New Brunswick,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,484,"Per 100,000",470,498,-,-,-,2.3,36.3,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,484,"Per 100,000",447,527,-,-,-,-,-,-,"October 15, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,484,"Per 100,000",458,512,-,-,-,-,-,-,"October 15, 2025"
Zone 6 (Bathurst Area) (N.B.),New Brunswick,Zone 6 (Bathurst Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,484,"Per 100,000",445,529,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,441,"Per 100,000",403,482,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,456,"Per 100,000",418,499,-,-,-,-,-,-,"October 15, 2025"
Hamilton Public Health Services (Ont.),Ontario,Hamilton Public Health Services (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,456,"Per 100,000",440,473,-,-,-,-,-,-,"October 15, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,456,"Per 100,000",427,487,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,393,"Per 100,000",358,433,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,393,"Per 100,000",358,432,-,-,-,-,-,-,"October 15, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,393,"Per 100,000",365,424,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,393,"Per 100,000",369,419,-,"181,755",-,-,-,-,"October 15, 2025"
British Columbia,British Columbia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,281,"Per 100,000",277,285,-,-,-,2.4,34.7,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,281,"Per 100,000",253,313,-,-,-,-,-,-,"October 15, 2025"
Island Health (B.C.),British Columbia,Island Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,281,"Per 100,000",271,292,-,"812,011",-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,281,"Per 100,000",269,294,-,-,-,-,-,-,"October 15, 2025"
Toronto Public Health (Ont.),Ontario,Toronto Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,281,"Per 100,000",275,287,-,-,-,-,-,-,"October 15, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,281,"Per 100,000",275,287,-,-,-,-,-,-,"October 15, 2025"
Windsor–Essex County Health Unit (Ont.),Ontario,Windsor–Essex County Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,281,"Per 100,000",266,296,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,316,"Per 100,000",285,353,-,-,-,-,-,-,"October 15, 2025"
Hastings Prince Edward Public Health (Ont.),Ontario,Hastings Prince Edward Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,316,"Per 100,000",292,342,-,-,-,-,-,-,"October 15, 2025"
Island Health (B.C.),British Columbia,Island Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,316,"Per 100,000",305,328,-,-,-,-,-,-,"October 15, 2025"
North Vancouver Island HSDA (B.C.),British Columbia,North Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,316,"Per 100,000",288,346,-,-,-,-,-,-,"October 15, 2025"
Region of Waterloo Public Health (Ont.),Ontario,Region of Waterloo Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,316,"Per 100,000",302,331,-,-,-,-,-,-,"October 15, 2025"
Saskatoon Zone (Sask.),Saskatchewan,Saskatoon Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,316,"Per 100,000",299,335,-,-,-,-,-,-,"October 15, 2025"
Southern Health Region (Man.),Manitoba,Southern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,316,"Per 100,000",295,340,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,406,"Per 100,000",369,448,-,-,-,-,-,-,"October 15, 2025"
Middlesex–London Health Unit (Ont.),Ontario,Middlesex–London Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,406,"Per 100,000",390,422,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,390,"Per 100,000",354,431,-,-,-,-,-,-,"October 15, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,390,"Per 100,000",376,403,-,-,-,-,-,-,"October 15, 2025"
West Region (Ont.),Ontario,West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,390,"Per 100,000",385,396,-,-,-,-,-,-,"October 15, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,390,"Per 100,000",365,417,-,-,-,-,-,-,"October 15, 2025"
Canada,-,-,National,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,378,"Per 100,000",376,380,"114,869","33,018,488",-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,378,"Per 100,000",342,419,-,"79,501",-,-,-,-,"October 15, 2025"
Fraser East HSDA (B.C.),British Columbia,Fraser East HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,378,"Per 100,000",359,398,-,-,-,-,-,-,"October 15, 2025"
Haldimand–Norfolk Health Unit (Ont.),Ontario,Haldimand–Norfolk Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,378,"Per 100,000",346,414,-,-,-,-,-,-,"October 15, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,378,"Per 100,000",365,392,-,-,-,-,-,-,"October 15, 2025"
Middlesex–London Health Unit (Ont.),Ontario,Middlesex–London Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,378,"Per 100,000",362,394,-,-,-,-,-,-,"October 15, 2025"
North Vancouver Island HSDA (B.C.),British Columbia,North Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,378,"Per 100,000",350,411,-,-,-,-,-,-,"October 15, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,378,"Per 100,000",363,394,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,560,"Per 100,000",522,601,-,-,-,-,-,-,"October 15, 2025"
Northern Interior HSDA (B.C.),British Columbia,Northern Interior HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,560,"Per 100,000",527,597,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,550,"Per 100,000",513,591,-,-,-,-,-,-,"October 15, 2025"
North East Region (Ont.),Ontario,North East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,550,"Per 100,000",533,568,-,-,-,-,-,-,"October 15, 2025"
Sudbury and District Health Unit (Ont.),Ontario,Sudbury and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,550,"Per 100,000",521,581,-,-,-,-,-,-,"October 15, 2025"
Eastern Ontario Health Unit (Ont.),Ontario,Eastern Ontario Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,465,"Per 100,000",442,490,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,465,"Per 100,000",430,504,-,-,-,-,-,-,"October 15, 2025"
Northern Zone (N.S.),Nova Scotia,Northern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,465,"Per 100,000",435,497,-,-,-,-,-,-,"October 15, 2025"
South West Zone (Sask.),Saskatchewan,South West Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,465,"Per 100,000",432,501,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,453,"Per 100,000",420,490,-,-,-,-,-,-,"October 15, 2025"
North Zone (Alta.),Alberta,North Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,453,"Per 100,000",435,472,-,-,-,-,-,-,"October 15, 2025"
Saguenay–Lac-Saint-Jean Region (Que.),Quebec,Saguenay–Lac-Saint-Jean Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,453,"Per 100,000",432,475,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,529,"Per 100,000",490,572,-,-,-,-,-,-,"October 15, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,529,"Per 100,000",502,558,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,459,"Per 100,000",423,500,-,-,-,-,-,-,"October 15, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,459,"Per 100,000",427,494,-,-,-,-,-,-,"October 15, 2025"
North Zone (Alta.),Alberta,North Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,459,"Per 100,000",441,479,-,-,-,-,-,-,"October 15, 2025"
Northern Zone (N.S.),Nova Scotia,Northern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,459,"Per 100,000",431,490,-,-,-,-,-,-,"October 15, 2025"
Central Zone (Alta.),Alberta,Central Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,512,"Per 100,000",494,530,-,-,-,-,-,-,"October 15, 2025"
Eastern Ontario Health Unit (Ont.),Ontario,Eastern Ontario Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,512,"Per 100,000",486,539,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,512,"Per 100,000",474,555,-,-,-,-,-,-,"October 15, 2025"
South Zone (Alta.),Alberta,South Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,512,"Per 100,000",488,536,-,-,-,-,-,-,"October 15, 2025"
Zone 6 (Bathurst Area) (N.B.),New Brunswick,Zone 6 (Bathurst Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,512,"Per 100,000",475,553,-,-,-,-,-,-,"October 15, 2025"
Manitoba,Manitoba,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,342,"Per 100,000",333,352,-,-,-,3.9,48.1,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,342,"Per 100,000",309,380,-,-,-,-,-,-,"October 15, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,342,"Per 100,000",333,351,-,-,-,-,-,-,"October 15, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,342,"Per 100,000",315,372,-,-,-,-,-,-,"October 15, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,342,"Per 100,000",331,355,-,-,-,-,-,-,"October 15, 2025"
Montréal Region (Que.),Quebec,Montréal Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,342,"Per 100,000",335,349,-,-,-,-,-,-,"October 15, 2025"
Thompson/Cariboo HSDA (B.C.),British Columbia,Thompson/Cariboo HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,342,"Per 100,000",321,365,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,362,"Per 100,000",329,400,-,-,-,-,-,-,"October 15, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,362,"Per 100,000",352,372,-,-,-,-,-,-,"October 15, 2025"
Estrie Region (Que.),Quebec,Estrie Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,362,"Per 100,000",348,376,-,-,-,-,-,-,"October 15, 2025"
Grey Bruce Health Unit (Ont.),Ontario,Grey Bruce Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,362,"Per 100,000",338,389,-,-,-,-,-,-,"October 15, 2025"
Huron Perth Public Health (Ont.),Ontario,Huron Perth Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,362,"Per 100,000",335,392,-,-,-,-,-,-,"October 15, 2025"
"Leeds, Grenville and Lanark District Health Unit (Ont.)",Ontario,"Leeds, Grenville and Lanark District Health Unit (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,362,"Per 100,000",338,389,-,-,-,-,-,-,"October 15, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,362,"Per 100,000",344,382,-,-,-,-,-,-,"October 15, 2025"
Central Zone (Alta.),Alberta,Central Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,409,"Per 100,000",393,426,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,409,"Per 100,000",373,450,-,-,-,-,-,-,"October 15, 2025"
Fraser East HSDA (B.C.),British Columbia,Fraser East HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,409,"Per 100,000",389,430,-,-,-,-,-,-,"October 15, 2025"
Grey Bruce Health Unit (Ont.),Ontario,Grey Bruce Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,409,"Per 100,000",382,439,-,-,-,-,-,-,"October 15, 2025"
Grey Bruce Health Unit (Ont.),Ontario,Grey Bruce Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,409,"Per 100,000",382,439,-,-,-,-,-,-,"October 15, 2025"
North Central East Zone (Sask.),Saskatchewan,North Central East Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,409,"Per 100,000",376,445,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,428,"Per 100,000",392,469,-,-,-,-,-,-,"October 15, 2025"
Outaouais Region (Que.),Quebec,Outaouais Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,428,"Per 100,000",411,446,-,-,-,-,-,-,"October 15, 2025"
Zone 1 (Moncton Area) (N.B.),New Brunswick,Zone 1 (Moncton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,428,"Per 100,000",405,453,-,-,-,-,-,-,"October 15, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,477,"Per 100,000",438,520,-,"94,597",-,-,-,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,452,"Per 100,000",426,480,-,-,-,-,-,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,487,"Per 100,000",460,516,-,-,-,-,-,-,"October 15, 2025"
Abitibi-Témiscamingue Region (Que.),Quebec,Abitibi-Témiscamingue Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,461,"Per 100,000",434,492,-,-,-,-,-,-,"October 15, 2025"
Chatham-Kent Public Health (Ont.),Ontario,Chatham-Kent Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,461,"Per 100,000",425,501,-,-,-,-,-,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,461,"Per 100,000",435,488,-,-,-,-,-,-,"October 15, 2025"
Hastings Prince Edward Public Health (Ont.),Ontario,Hastings Prince Edward Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,461,"Per 100,000",434,491,-,-,-,-,-,-,"October 15, 2025"
Nord-du-Québec Region (Que.),Quebec,Nord-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,461,"Per 100,000",384,556,-,-,-,-,-,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,407,"Per 100,000",383,433,-,-,-,-,-,-,"October 15, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,407,"Per 100,000",392,422,-,-,-,-,-,-,"October 15, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,407,"Per 100,000",369,451,-,-,-,-,-,-,"October 15, 2025"
Prince Edward Island,Prince Edward Island,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,440,"Per 100,000",411,471,-,-,-,1.7,21.0,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,440,"Per 100,000",415,467,-,-,-,-,-,-,"October 15, 2025"
"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,440,"Per 100,000",413,470,-,-,-,-,-,-,"October 15, 2025"
Hamilton Public Health Services (Ont.),Ontario,Hamilton Public Health Services (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,440,"Per 100,000",425,457,-,-,-,-,-,-,"October 15, 2025"
Saguenay–Lac-Saint-Jean Region (Que.),Quebec,Saguenay–Lac-Saint-Jean Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,440,"Per 100,000",419,463,-,-,-,-,-,-,"October 15, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,440,"Per 100,000",401,486,-,-,-,-,-,-,"October 15, 2025"
Prince Edward Island,Prince Edward Island,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,363,"Per 100,000",338,391,-,-,-,2.1,27.8,-,"October 15, 2025"
Bas-Saint-Laurent Region (Que.),Quebec,Bas-Saint-Laurent Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,363,"Per 100,000",342,387,-,-,-,-,-,-,"October 15, 2025"
Eastern Ontario Health Unit (Ont.),Ontario,Eastern Ontario Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,363,"Per 100,000",341,386,-,-,-,-,-,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,363,"Per 100,000",340,387,-,-,-,-,-,-,"October 15, 2025"
Windsor–Essex County Health Unit (Ont.),Ontario,Windsor–Essex County Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,363,"Per 100,000",347,380,-,-,-,-,-,-,"October 15, 2025"
Zone 1 (Moncton Area) (N.B.),New Brunswick,Zone 1 (Moncton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,363,"Per 100,000",341,387,-,-,-,-,-,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,292,"Per 100,000",272,315,-,-,-,-,-,-,"October 15, 2025"
Island Health (B.C.),British Columbia,Island Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,292,"Per 100,000",281,303,-,-,-,-,-,-,"October 15, 2025"
Region of Waterloo Public Health (Ont.),Ontario,Region of Waterloo Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,292,"Per 100,000",279,305,-,-,-,-,-,-,"October 15, 2025"
Toronto Public Health (Ont.),Ontario,Toronto Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,292,"Per 100,000",286,298,-,-,-,-,-,-,"October 15, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,292,"Per 100,000",286,298,-,-,-,-,-,-,"October 15, 2025"
